,benchmark_group,benchmark_name,npe_label,experiment_id,input_class,replayed_testsuite,compiled_tests,commented_tests,npe_reproduced
0,BugSwarm,Universal_G__Code_Sender-172454077,0,be3b112b89d441489af3afbdaa11f51f,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,34,0,False
1,BugSwarm,Universal_G__Code_Sender-172454077,0,f12d22884289489caec624ef3b0404bf,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,33,0,False
2,BugSwarm,Universal_G__Code_Sender-172454077,0,8446457b097d415983c4a2089586e6d2,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,36,0,False
3,BugSwarm,Universal_G__Code_Sender-172454077,0,258f7b306be24eb9acaf45a9e40df28e,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,35,0,False
4,BugSwarm,Universal_G__Code_Sender-172454077,0,e817a301184b414e849cba87f48e7582,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,33,0,False
5,BugSwarm,Universal_G__Code_Sender-172454077,0,9afd99f9ac3e4edf8eeecce0e73ca99c,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,35,0,False
6,BugSwarm,Universal_G__Code_Sender-172454077,0,0348f7e6dd6f4d108149399b25538f6f,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,32,0,False
7,BugSwarm,Universal_G__Code_Sender-172454077,0,e6bd7105e0fd4347bece3027485a9155,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,32,0,False
8,BugSwarm,Universal_G__Code_Sender-172454077,0,2d0e5d94914846708408af145ade1e0c,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,33,0,False
9,BugSwarm,Universal_G__Code_Sender-172454077,0,8da63095d0b74ba09fcf52eefb713cb7,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,31,0,False
10,BugSwarm,Universal_G__Code_Sender-172454077,1,be3b112b89d441489af3afbdaa11f51f,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,34,0,False
11,BugSwarm,Universal_G__Code_Sender-172454077,1,f12d22884289489caec624ef3b0404bf,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,33,0,False
12,BugSwarm,Universal_G__Code_Sender-172454077,1,8446457b097d415983c4a2089586e6d2,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,36,0,False
13,BugSwarm,Universal_G__Code_Sender-172454077,1,258f7b306be24eb9acaf45a9e40df28e,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,35,0,False
14,BugSwarm,Universal_G__Code_Sender-172454077,1,e817a301184b414e849cba87f48e7582,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,33,0,False
15,BugSwarm,Universal_G__Code_Sender-172454077,1,9afd99f9ac3e4edf8eeecce0e73ca99c,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,35,0,False
16,BugSwarm,Universal_G__Code_Sender-172454077,1,0348f7e6dd6f4d108149399b25538f6f,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,32,0,False
17,BugSwarm,Universal_G__Code_Sender-172454077,1,e6bd7105e0fd4347bece3027485a9155,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,32,0,False
18,BugSwarm,Universal_G__Code_Sender-172454077,1,2d0e5d94914846708408af145ade1e0c,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,33,0,False
19,BugSwarm,Universal_G__Code_Sender-172454077,1,8da63095d0b74ba09fcf52eefb713cb7,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,31,0,False
20,BugSwarm,deadcode4j-131735009,0,9f4208c5005740c382fd55468db7bd88,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,35,0,False
21,BugSwarm,deadcode4j-131735009,0,2b88a14ae15f4566b33bbd3761888146,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,41,0,False
22,BugSwarm,deadcode4j-131735009,0,c09c60622c554840859f17b735300cb9,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,47,0,False
