,benchmark_group,benchmark_name,npe_label,experiment_id,input_class,replayed_testsuite,compiled_tests,commented_tests,npe_reproduced
0,BugSwarm,Universal_G__Code_Sender-172454077,0,e281376c388941b3b48ce523166cd694,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,29,0,False
1,BugSwarm,Universal_G__Code_Sender-172454077,0,420c988e163d4c558335df8bd9216fff,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,30,0,False
2,BugSwarm,Universal_G__Code_Sender-172454077,0,04d5ecf1b2734769a7f9720783aefbcd,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,30,0,False
3,BugSwarm,Universal_G__Code_Sender-172454077,0,48a9e76f7ace460ba2c31fe22277ec76,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,33,0,False
4,BugSwarm,Universal_G__Code_Sender-172454077,0,324de462945048f7917ae1c7d4bcdd3a,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,33,0,False
5,BugSwarm,Universal_G__Code_Sender-172454077,0,ea36a01d0f1b4c598530a0d19fc6299c,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,31,0,False
6,BugSwarm,Universal_G__Code_Sender-172454077,0,90eca26be83e4988ab4f28110d33caa2,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,31,0,False
7,BugSwarm,Universal_G__Code_Sender-172454077,0,15976fa6b8754dd0a2c239a1b96980aa,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,29,0,False
8,BugSwarm,Universal_G__Code_Sender-172454077,0,546aea4dbbd142db98e47385fe72ed97,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,29,0,False
9,BugSwarm,Universal_G__Code_Sender-172454077,0,687832593263448f8669b707cf020285,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,37,0,False
10,BugSwarm,Universal_G__Code_Sender-172454077,0,f87a2638f42d45e4aa320df385b72792,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,33,0,False
11,BugSwarm,Universal_G__Code_Sender-172454077,0,3565ff24f99341088671141e3fa6a664,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,33,0,False
12,BugSwarm,Universal_G__Code_Sender-172454077,0,b1600f294dd549cca10cd57992c12068,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,31,0,False
13,BugSwarm,Universal_G__Code_Sender-172454077,0,868db0b131b94f74b1055b26cb552c36,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,29,0,False
14,BugSwarm,Universal_G__Code_Sender-172454077,0,50198718eeb74909a5de4f3ff41055f0,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,30,0,False
15,BugSwarm,Universal_G__Code_Sender-172454077,0,3867fdd6ee12435a96d4137ad87c6642,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,33,0,False
16,BugSwarm,Universal_G__Code_Sender-172454077,0,f9f5fd7e9b6649caa9403bbd7cb27667,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,32,0,False
17,BugSwarm,Universal_G__Code_Sender-172454077,0,cf6287e1b1b943ffba52ab4810d2c1a3,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,32,0,False
18,BugSwarm,Universal_G__Code_Sender-172454077,0,592452df48b9459fba8bd3e059794f3e,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,38,0,False
19,BugSwarm,Universal_G__Code_Sender-172454077,0,63919b3c46bc4383a83cfb1962d744f7,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,33,0,False
20,BugSwarm,Universal_G__Code_Sender-172454077,0,257770c089414e3f8af77b2d2d51ec79,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,31,0,False
21,BugSwarm,Universal_G__Code_Sender-172454077,0,1d63e6c2e4284111b2e5950cb98e3232,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,33,0,False
22,BugSwarm,Universal_G__Code_Sender-172454077,0,4f70244cf6bc45bca66097bec64c088a,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,31,0,False
