,benchmark_group,benchmark_name,npe_label,experiment_id,input_class,replayed_testsuite,compiled_tests,commented_tests,npe_reproduced
0,BugSwarm,Universal_G__Code_Sender-172454077,0,897028c2cf75405ca3e4a96550f1ca6e,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,37,0,False
1,BugSwarm,Universal_G__Code_Sender-172454077,0,fea63292677445c298f6a948cdb576f6,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,35,0,False
2,BugSwarm,Universal_G__Code_Sender-172454077,0,658ea77aa0aa4979b327276f45db76f2,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,32,0,False
3,BugSwarm,Universal_G__Code_Sender-172454077,0,5714f1c3cde34c82a8db325c2bb217f3,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,36,0,False
4,BugSwarm,Universal_G__Code_Sender-172454077,0,7ed73c697da1407ebc5316b43a06f6fa,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,33,0,False
5,BugSwarm,Universal_G__Code_Sender-172454077,0,016b49bed46b4086bd889adda55daee2,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,35,0,False
6,BugSwarm,Universal_G__Code_Sender-172454077,0,ca4f5d4f2d574e22ae139fd3f4b5572b,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,34,0,False
7,BugSwarm,Universal_G__Code_Sender-172454077,0,90236b8614cc456dafb1b1059200f08f,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,31,0,False
8,BugSwarm,Universal_G__Code_Sender-172454077,0,960be4baeb0c4b568d0c3630fc9789c2,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,28,0,False
9,BugSwarm,Universal_G__Code_Sender-172454077,0,dc7aee60e5ee49ffbb78e042c62b143a,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,49,0,False
