,benchmark_group,benchmark_name,npe_label,experiment_id,input_class,replayed_testsuite,compiled_tests,commented_tests,npe_reproduced
0,BugSwarm,Universal_G__Code_Sender-172454077,0,26c3b5c0ed234674ba9f9f177e5c2061,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,35,0,False
1,BugSwarm,Universal_G__Code_Sender-172454077,0,a31a55f554a34ec199fcf5454b66392a,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,40,0,False
2,BugSwarm,Universal_G__Code_Sender-172454077,0,603d47a1edb04f5887af6031cced3368,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,32,0,False
3,BugSwarm,Universal_G__Code_Sender-172454077,0,1d95e446f23f4f2bb399119954711369,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,32,0,False
4,BugSwarm,Universal_G__Code_Sender-172454077,0,ff4996c8264b441e978feef7c563de65,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,33,0,False
5,BugSwarm,Universal_G__Code_Sender-172454077,0,f5fd9d0b8a0b48d491b85206192cd63b,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,34,0,False
6,BugSwarm,Universal_G__Code_Sender-172454077,0,9ec218be18c54985890153e3c62099af,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,35,0,False
7,BugSwarm,Universal_G__Code_Sender-172454077,0,8258f51a46a34416b6c011056abaf1ac,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,36,0,False
8,BugSwarm,Universal_G__Code_Sender-172454077,0,3a6af876910a435b93112406dc6ce0a9,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,36,0,False
9,BugSwarm,Universal_G__Code_Sender-172454077,0,66303a42d5304b21a33199311749807b,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,36,0,False
10,BugSwarm,Universal_G__Code_Sender-172454077,0,240524145ee1416d9f9a54c70efb5ade,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,36,0,False
11,BugSwarm,Universal_G__Code_Sender-172454077,0,0b0155fc7fd8414981f88bd9eefc7394,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,35,0,False
12,BugSwarm,Universal_G__Code_Sender-172454077,0,5dfddf20d79e4e17b3555fb1640234c4,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,34,0,False
13,BugSwarm,Universal_G__Code_Sender-172454077,0,cf054ded417d4dc38ee9899957b2c389,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,34,0,False
14,BugSwarm,Universal_G__Code_Sender-172454077,0,98c6eb7fa5cf4ee0b12d9954707a8f32,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,36,0,False
15,BugSwarm,Universal_G__Code_Sender-172454077,0,60a252e70d704433a6d6358aec1e2a32,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,35,0,False
16,BugSwarm,Universal_G__Code_Sender-172454077,0,7e058d01cc164c3f848a0b829b8d679c,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,34,0,False
17,BugSwarm,Universal_G__Code_Sender-172454077,0,b22a1007e4af4767aad3c260c7711b8f,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,34,0,False
18,BugSwarm,Universal_G__Code_Sender-172454077,0,6e69ec8baf384aaea4566e483c80c7d2,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,32,0,False
19,BugSwarm,Universal_G__Code_Sender-172454077,0,f71ce6961f41473bad199a52aeaf4416,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,30,0,False
20,BugSwarm,Universal_G__Code_Sender-172454077,1,26c3b5c0ed234674ba9f9f177e5c2061,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,35,0,False
21,BugSwarm,Universal_G__Code_Sender-172454077,1,a31a55f554a34ec199fcf5454b66392a,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,40,0,False
22,BugSwarm,Universal_G__Code_Sender-172454077,1,603d47a1edb04f5887af6031cced3368,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,32,0,False
23,BugSwarm,Universal_G__Code_Sender-172454077,1,1d95e446f23f4f2bb399119954711369,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,32,0,False
24,BugSwarm,Universal_G__Code_Sender-172454077,1,ff4996c8264b441e978feef7c563de65,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,33,0,False
25,BugSwarm,Universal_G__Code_Sender-172454077,1,f5fd9d0b8a0b48d491b85206192cd63b,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,34,0,False
26,BugSwarm,Universal_G__Code_Sender-172454077,1,9ec218be18c54985890153e3c62099af,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,35,0,False
27,BugSwarm,Universal_G__Code_Sender-172454077,1,8258f51a46a34416b6c011056abaf1ac,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,36,0,False
28,BugSwarm,Universal_G__Code_Sender-172454077,1,3a6af876910a435b93112406dc6ce0a9,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,36,0,False
29,BugSwarm,Universal_G__Code_Sender-172454077,1,66303a42d5304b21a33199311749807b,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,36,0,False
30,BugSwarm,Universal_G__Code_Sender-172454077,1,240524145ee1416d9f9a54c70efb5ade,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,36,0,False
31,BugSwarm,Universal_G__Code_Sender-172454077,1,0b0155fc7fd8414981f88bd9eefc7394,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,35,0,False
32,BugSwarm,Universal_G__Code_Sender-172454077,1,5dfddf20d79e4e17b3555fb1640234c4,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,34,0,False
33,BugSwarm,Universal_G__Code_Sender-172454077,1,cf054ded417d4dc38ee9899957b2c389,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,34,0,False
34,BugSwarm,Universal_G__Code_Sender-172454077,1,98c6eb7fa5cf4ee0b12d9954707a8f32,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,36,0,False
35,BugSwarm,Universal_G__Code_Sender-172454077,1,60a252e70d704433a6d6358aec1e2a32,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,35,0,False
36,BugSwarm,Universal_G__Code_Sender-172454077,1,7e058d01cc164c3f848a0b829b8d679c,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,34,0,False
37,BugSwarm,Universal_G__Code_Sender-172454077,1,b22a1007e4af4767aad3c260c7711b8f,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,34,0,False
38,BugSwarm,Universal_G__Code_Sender-172454077,1,6e69ec8baf384aaea4566e483c80c7d2,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,32,0,False
39,BugSwarm,Universal_G__Code_Sender-172454077,1,f71ce6961f41473bad199a52aeaf4416,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,30,0,False
40,BugSwarm,deadcode4j-131735009,0,2145dfe5c0714d62899b253de2dc21f7,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,34,0,False
41,BugSwarm,deadcode4j-131735009,0,ec1f57b8149c4b0481f7222cb566d431,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,16,0,False
42,BugSwarm,deadcode4j-131735009,0,c4e939c59ee2406bb972798f1a29054c,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,32,0,False
43,BugSwarm,deadcode4j-131735009,0,8dbc5da3ea534b64b9fb35003c4d37e0,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,42,0,False
44,BugSwarm,deadcode4j-131735009,0,a0d6663c419149e1af8c73234d37b0a1,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,31,0,False
45,BugSwarm,deadcode4j-131735009,0,0063869d00c94ddc927cc0e9eeda7160,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,45,0,False
46,BugSwarm,deadcode4j-131735009,0,5b1379331d7643eea6e5e806924c608b,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,27,0,False
47,BugSwarm,deadcode4j-131735009,0,880fdb923735455394f44630e614c525,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,44,0,False
48,BugSwarm,deadcode4j-131735009,0,7c60aceb5059492892859e5cc621fbac,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,33,0,False
49,BugSwarm,deadcode4j-131735009,0,21164ed61c824ea38f5f928bcfdca0c8,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,40,0,False
50,BugSwarm,deadcode4j-131735009,0,e327c7e519414548a0a0a6ead452800f,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,31,0,False
51,BugSwarm,deadcode4j-131735009,0,6d43955ffc894b81a9cfe2d7183e2d08,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,31,0,False
52,BugSwarm,deadcode4j-131735009,0,9e45302c2af045a79841451253470ab5,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,43,0,False
53,BugSwarm,deadcode4j-131735009,0,0f66e2f20330453492e55baa1b760eda,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,30,0,False
54,BugSwarm,deadcode4j-131735009,0,b23c34be88864c2e90b28ec3032225b2,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,49,0,False
55,BugSwarm,deadcode4j-131735009,0,1c1df198cf22421abd2d8ebe81dac9dc,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,53,0,False
56,BugSwarm,deadcode4j-131735009,0,56de7f9530e74e2ca34d0eac3e364b10,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,39,0,False
57,BugSwarm,deadcode4j-131735009,0,7e5f0208c8764187bf955681e985cc13,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,48,0,False
58,BugSwarm,deadcode4j-131735009,0,3c1835cb27b34e9d90a41d4e320325bd,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,37,0,False
59,BugSwarm,deadcode4j-131735009,0,6999227821c24419872f98a0a44f7397,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,20,0,False
60,BugSwarm,Sonar_Java-295864289,0,d1adec7b09174a0aa5311a8ca021ec1f,org.sonar.java.bytecode.se.BytecodeEGWalker,org.sonar.java.bytecode.se.BytecodeEGWalker_ESTest,15,0,False
61,BugSwarm,Sonar_Java-295864289,0,33ceb8086a824501aba73c01e4e8bdd5,org.sonar.java.bytecode.se.BytecodeEGWalker,org.sonar.java.bytecode.se.BytecodeEGWalker_ESTest,16,0,False
62,BugSwarm,Sonar_Java-295864289,0,5ad395b76cb847e0975f2daf00aafe02,org.sonar.java.bytecode.se.BytecodeEGWalker,org.sonar.java.bytecode.se.BytecodeEGWalker_ESTest,16,0,False
63,BugSwarm,Sonar_Java-295864289,0,0a6526b1ae3f47eb88c14c5c64442fe9,org.sonar.java.bytecode.se.BytecodeEGWalker,org.sonar.java.bytecode.se.BytecodeEGWalker_ESTest,17,0,False
64,BugSwarm,Sonar_Java-295864289,0,e5278c19259a443aad0d0e1a1baeb71b,org.sonar.java.bytecode.se.BytecodeEGWalker,org.sonar.java.bytecode.se.BytecodeEGWalker_ESTest,16,0,False
65,BugSwarm,Sonar_Java-295864289,0,8fb3b36890464b258118a0be1a0d3839,org.sonar.java.bytecode.se.BytecodeEGWalker,org.sonar.java.bytecode.se.BytecodeEGWalker_ESTest,15,0,False
66,BugSwarm,Sonar_Java-295864289,0,e5f18709925041f6894dd47b182d3ee2,org.sonar.java.bytecode.se.BytecodeEGWalker,org.sonar.java.bytecode.se.BytecodeEGWalker_ESTest,15,0,False
67,BugSwarm,Sonar_Java-295864289,0,462a92d1a6c44ba3ab882e58e585bf5b,org.sonar.java.bytecode.se.BytecodeEGWalker,org.sonar.java.bytecode.se.BytecodeEGWalker_ESTest,17,0,False
68,BugSwarm,Sonar_Java-295864289,0,7e02db2dd0784eb5b4b326ea5b8c428d,org.sonar.java.bytecode.se.BytecodeEGWalker,org.sonar.java.bytecode.se.BytecodeEGWalker_ESTest,16,0,False
69,BugSwarm,Sonar_Java-295864289,0,2cb512a906884e668ab870a5d9df8e0b,org.sonar.java.bytecode.se.BytecodeEGWalker,org.sonar.java.bytecode.se.BytecodeEGWalker_ESTest,15,0,False
70,BugSwarm,Sonar_Java-295864289,0,65c5ef302def4ec9a2d637e33e39b919,org.sonar.java.bytecode.se.BytecodeEGWalker,org.sonar.java.bytecode.se.BytecodeEGWalker_ESTest,15,0,False
71,BugSwarm,Sonar_Java-295864289,0,e911030ec01a45b5b802057ed2a98ecb,org.sonar.java.bytecode.se.BytecodeEGWalker,org.sonar.java.bytecode.se.BytecodeEGWalker_ESTest,17,0,False
72,BugSwarm,Sonar_Java-295864289,0,060956a81ff6484d9118f1c31382038d,org.sonar.java.bytecode.se.BytecodeEGWalker,org.sonar.java.bytecode.se.BytecodeEGWalker_ESTest,16,0,False
73,BugSwarm,Sonar_Java-295864289,0,d453643a1e0b43cd9001a5af0eb7c7d8,org.sonar.java.bytecode.se.BytecodeEGWalker,org.sonar.java.bytecode.se.BytecodeEGWalker_ESTest,15,0,False
74,BugSwarm,Sonar_Java-295864289,0,802f5821d4e547d39b119e9905702c9c,org.sonar.java.bytecode.se.BytecodeEGWalker,org.sonar.java.bytecode.se.BytecodeEGWalker_ESTest,15,0,False
75,BugSwarm,Sonar_Java-295864289,0,9406cf35c73b410da26d8fa4a8f75b8d,org.sonar.java.bytecode.se.BytecodeEGWalker,org.sonar.java.bytecode.se.BytecodeEGWalker_ESTest,13,0,False
76,BugSwarm,Sonar_Java-295864289,0,da6fa67f3de547058ed55a2e76dafabc,org.sonar.java.bytecode.se.BytecodeEGWalker,org.sonar.java.bytecode.se.BytecodeEGWalker_ESTest,14,0,False
77,BugSwarm,Sonar_Java-295864289,0,c1670c61bd024cb88da4ac5945597aa9,org.sonar.java.bytecode.se.BytecodeEGWalker,org.sonar.java.bytecode.se.BytecodeEGWalker_ESTest,15,0,False
78,BugSwarm,Sonar_Java-295864289,0,05848f8dc2784c9486c52253a2aa97f3,org.sonar.java.bytecode.se.BytecodeEGWalker,org.sonar.java.bytecode.se.BytecodeEGWalker_ESTest,16,0,False
79,BugSwarm,Sonar_Java-295864289,0,3f1a14ef82b2464f8bb94af49d34183d,org.sonar.java.bytecode.se.BytecodeEGWalker,org.sonar.java.bytecode.se.BytecodeEGWalker_ESTest,18,0,False
80,BugSwarm,Petergeneric__Stdlib-290369132,0,b3d5ac13831740a1be9f261b1749211e,com.peterphi.std.guice.hibernate.webquery.impl.jpa.JPASearchExecutor,com.peterphi.std.guice.hibernate.webquery.impl.jpa.JPASearchExecutor_ESTest,2,0,True
81,BugSwarm,Petergeneric__Stdlib-290369132,0,632c0a5ef38746a988a064c73fc738d1,com.peterphi.std.guice.hibernate.webquery.impl.jpa.JPASearchExecutor,com.peterphi.std.guice.hibernate.webquery.impl.jpa.JPASearchExecutor_ESTest,3,0,True
82,BugSwarm,Atomix-298262068,0,72695f0a2d13462da5178e555a0bb7dd,io.atomix.primitives.leadership.impl.RaftLeaderElectorService,io.atomix.primitives.leadership.impl.RaftLeaderElectorService_ESTest,20,0,False
83,BugSwarm,Atomix-298262068,0,b323914292cb4a579af910af59921218,io.atomix.primitives.leadership.impl.RaftLeaderElectorService,io.atomix.primitives.leadership.impl.RaftLeaderElectorService_ESTest,20,0,False
84,BugSwarm,Atomix-298262068,0,2ad9dffed188423ca74d81b092426b47,io.atomix.primitives.leadership.impl.RaftLeaderElectorService,io.atomix.primitives.leadership.impl.RaftLeaderElectorService_ESTest,20,0,False
85,BugSwarm,Atomix-298262068,0,5739f925f45b49eab699175ae5b47c25,io.atomix.primitives.leadership.impl.RaftLeaderElectorService,io.atomix.primitives.leadership.impl.RaftLeaderElectorService_ESTest,20,0,False
86,BugSwarm,Atomix-298262068,0,5e2b59b19c3a49a1b5263c4df3ff105f,io.atomix.primitives.leadership.impl.RaftLeaderElectorService,io.atomix.primitives.leadership.impl.RaftLeaderElectorService_ESTest,20,0,False
87,BugSwarm,Atomix-298262068,0,2dfa2f2a31104a86ab4ce47039ade408,io.atomix.primitives.leadership.impl.RaftLeaderElectorService,io.atomix.primitives.leadership.impl.RaftLeaderElectorService_ESTest,20,0,False
88,BugSwarm,Atomix-298262068,0,c9c620e148d9488c833c3586f5738d7a,io.atomix.primitives.leadership.impl.RaftLeaderElectorService,io.atomix.primitives.leadership.impl.RaftLeaderElectorService_ESTest,20,0,False
89,BugSwarm,Atomix-298262068,0,b3b4b35a9ac84b52b2402305475bc10b,io.atomix.primitives.leadership.impl.RaftLeaderElectorService,io.atomix.primitives.leadership.impl.RaftLeaderElectorService_ESTest,20,0,False
90,BugSwarm,Atomix-298262068,0,97fb51f1b7bd4c32be410bd70ad580a3,io.atomix.primitives.leadership.impl.RaftLeaderElectorService,io.atomix.primitives.leadership.impl.RaftLeaderElectorService_ESTest,20,0,False
91,BugSwarm,Atomix-298262068,0,c8158048701644778286e71d28434abf,io.atomix.primitives.leadership.impl.RaftLeaderElectorService,io.atomix.primitives.leadership.impl.RaftLeaderElectorService_ESTest,20,0,False
92,BugSwarm,Atomix-298262068,0,93e4c231b73a4634a2d20b057a45927f,io.atomix.primitives.leadership.impl.RaftLeaderElectorService,io.atomix.primitives.leadership.impl.RaftLeaderElectorService_ESTest,20,0,False
93,BugSwarm,Atomix-298262068,0,e1906f8375de44f08dde6dec328de6be,io.atomix.primitives.leadership.impl.RaftLeaderElectorService,io.atomix.primitives.leadership.impl.RaftLeaderElectorService_ESTest,20,0,False
94,BugSwarm,Atomix-298262068,0,d2979df663d94caaaf13e068e87fc1f5,io.atomix.primitives.leadership.impl.RaftLeaderElectorService,io.atomix.primitives.leadership.impl.RaftLeaderElectorService_ESTest,20,0,False
95,BugSwarm,Atomix-298262068,0,dd2e9d862206469ca32dad02e32b895e,io.atomix.primitives.leadership.impl.RaftLeaderElectorService,io.atomix.primitives.leadership.impl.RaftLeaderElectorService_ESTest,20,0,False
96,BugSwarm,Atomix-298262068,0,d3a0a3234f454285a7a71f6ac62c6597,io.atomix.primitives.leadership.impl.RaftLeaderElectorService,io.atomix.primitives.leadership.impl.RaftLeaderElectorService_ESTest,20,0,False
97,BugSwarm,Atomix-298262068,0,d9149fbfdab24a60b5fb2a0003970eba,io.atomix.primitives.leadership.impl.RaftLeaderElectorService,io.atomix.primitives.leadership.impl.RaftLeaderElectorService_ESTest,20,0,False
98,BugSwarm,Atomix-298262068,0,84596d74cba0494fb3f9bdf6af46f79b,io.atomix.primitives.leadership.impl.RaftLeaderElectorService,io.atomix.primitives.leadership.impl.RaftLeaderElectorService_ESTest,20,0,False
99,BugSwarm,Atomix-298262068,0,8cf1007ca54b41d1a71e631e93659e31,io.atomix.primitives.leadership.impl.RaftLeaderElectorService,io.atomix.primitives.leadership.impl.RaftLeaderElectorService_ESTest,20,0,False
100,BugSwarm,Atomix-298262068,0,53890e4de4e44e068ede2b5dc4b8572b,io.atomix.primitives.leadership.impl.RaftLeaderElectorService,io.atomix.primitives.leadership.impl.RaftLeaderElectorService_ESTest,17,0,False
101,BugSwarm,Atomix-298262068,0,a83b601f7a9e4252b15ce400efaaf66f,io.atomix.primitives.leadership.impl.RaftLeaderElectorService,io.atomix.primitives.leadership.impl.RaftLeaderElectorService_ESTest,20,0,False
102,BugSwarm,nFlow-197273853,0,a507c07691ad49c18fa0b7a7873039b6,io.nflow.engine.internal.dao.WorkflowInstanceDao,io.nflow.engine.internal.dao.WorkflowInstanceDao_ESTest,30,0,False
103,BugSwarm,nFlow-197273853,0,ec83e938d60d4b4c869f7c3fd56e93b5,io.nflow.engine.internal.dao.WorkflowInstanceDao,io.nflow.engine.internal.dao.WorkflowInstanceDao_ESTest,29,0,False
104,BugSwarm,nFlow-197273853,0,9685fe7063894205b5b81ff3248d2bb4,io.nflow.engine.internal.dao.WorkflowInstanceDao,io.nflow.engine.internal.dao.WorkflowInstanceDao_ESTest,31,0,False
105,BugSwarm,nFlow-197273853,0,5d9742416a5142d0a2bff7bea8a2f15d,io.nflow.engine.internal.dao.WorkflowInstanceDao,io.nflow.engine.internal.dao.WorkflowInstanceDao_ESTest,31,0,False
106,BugSwarm,nFlow-197273853,0,b2b6469f3fbf4f41a082675dd6cb9c99,io.nflow.engine.internal.dao.WorkflowInstanceDao,io.nflow.engine.internal.dao.WorkflowInstanceDao_ESTest,32,0,False
107,BugSwarm,nFlow-197273853,0,1674068e14d8444abb957c43af4c5a38,io.nflow.engine.internal.dao.WorkflowInstanceDao,io.nflow.engine.internal.dao.WorkflowInstanceDao_ESTest,30,0,False
