,benchmark_group,benchmark_name,npe_label,experiment_id,input_class,replayed_testsuite,compiled_tests,commented_tests,npe_reproduced
0,BugSwarm,Universal_G__Code_Sender-172454077,0,8917774f75f24fdfa7bd90b260036e60,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,37,0,False
1,BugSwarm,Universal_G__Code_Sender-172454077,0,b83cbc44ecbb4de2b7872d3a3ecb3b18,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,37,0,False
2,BugSwarm,Universal_G__Code_Sender-172454077,0,ba8d0d5a601549c0acde9c3792a76012,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,41,0,False
3,BugSwarm,Universal_G__Code_Sender-172454077,0,5188d634a12448a79fb9c8afcfa3e501,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,45,0,False
4,BugSwarm,Universal_G__Code_Sender-172454077,0,597a080af3034855b58082e22292951f,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,44,0,False
5,BugSwarm,Universal_G__Code_Sender-172454077,0,2aa93be815704a059ec57e041a54561b,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,40,0,False
6,BugSwarm,Universal_G__Code_Sender-172454077,0,c724211f37b54fc395d3a4a72aa755b6,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,38,0,False
7,BugSwarm,Universal_G__Code_Sender-172454077,0,4834c7555a584dca86be121a8da40174,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,40,0,False
8,BugSwarm,Universal_G__Code_Sender-172454077,1,8917774f75f24fdfa7bd90b260036e60,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,37,0,False
9,BugSwarm,Universal_G__Code_Sender-172454077,1,b83cbc44ecbb4de2b7872d3a3ecb3b18,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,37,0,False
10,BugSwarm,Universal_G__Code_Sender-172454077,1,ba8d0d5a601549c0acde9c3792a76012,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,41,0,False
11,BugSwarm,Universal_G__Code_Sender-172454077,1,5188d634a12448a79fb9c8afcfa3e501,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,45,0,False
12,BugSwarm,Universal_G__Code_Sender-172454077,1,597a080af3034855b58082e22292951f,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,44,0,False
13,BugSwarm,Universal_G__Code_Sender-172454077,1,2aa93be815704a059ec57e041a54561b,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,40,0,False
14,BugSwarm,Universal_G__Code_Sender-172454077,1,c724211f37b54fc395d3a4a72aa755b6,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,38,0,False
15,BugSwarm,Universal_G__Code_Sender-172454077,1,4834c7555a584dca86be121a8da40174,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,40,0,False
16,BugSwarm,deadcode4j-131735009,0,3a5ae58e9eba4c55b61b6f9d36cccfb1,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,29,0,False
17,BugSwarm,deadcode4j-131735009,0,822db408536e44a6a9e86eb57d0dfa71,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,34,0,False
18,BugSwarm,deadcode4j-131735009,0,43c3c7fcbf224bda874a633a177fa730,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,19,0,False
19,BugSwarm,deadcode4j-131735009,0,0b2896d4eb0f4a41a202ae8615f06149,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,41,0,False
20,BugSwarm,deadcode4j-131735009,0,0b794fc92e0b4f1da43cdc3fff14e46c,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,35,0,False
21,BugSwarm,deadcode4j-131735009,0,0b794fc92e0b4f1da43cdc3fff14e46c,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest$1,35,0,False
22,BugSwarm,deadcode4j-131735009,0,8ae473f214024f3fba3259bdaa57e732,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,31,0,False
23,BugSwarm,deadcode4j-131735009,0,5f704ef0a1e442f480d67aa32ba9f557,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,20,0,False
24,BugSwarm,deadcode4j-131735009,0,00c6962023644f80a4016716d10fe58f,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,38,0,False
25,BugSwarm,deadcode4j-131735009,0,a689ada16c57427f9599b839783fdf1b,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,18,0,False
26,BugSwarm,deadcode4j-131735009,0,c4172220dcc04b0891129f7265829f36,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,29,0,False
27,BugSwarm,Sonar_Java-295864289,0,28be918866114459bd57d977af26d738,org.sonar.java.bytecode.se.BytecodeEGWalker,org.sonar.java.bytecode.se.BytecodeEGWalker_ESTest,18,0,False
28,BugSwarm,Sonar_Java-295864289,0,71a7e0e43ee042ce8f58f42ca6559217,org.sonar.java.bytecode.se.BytecodeEGWalker,org.sonar.java.bytecode.se.BytecodeEGWalker_ESTest,20,0,False
29,BugSwarm,Sonar_Java-295864289,0,514c7f0d922a46cd905e1389e655b3d1,org.sonar.java.bytecode.se.BytecodeEGWalker,org.sonar.java.bytecode.se.BytecodeEGWalker_ESTest,20,0,False
30,BugSwarm,Sonar_Java-295864289,0,ec3561610a6d41f29590664f9f405cc4,org.sonar.java.bytecode.se.BytecodeEGWalker,org.sonar.java.bytecode.se.BytecodeEGWalker_ESTest,17,0,False
31,BugSwarm,Sonar_Java-295864289,0,0cf1ec358f884ced9dcbf80a8b93cc38,org.sonar.java.bytecode.se.BytecodeEGWalker,org.sonar.java.bytecode.se.BytecodeEGWalker_ESTest,19,0,False
32,BugSwarm,Sonar_Java-295864289,0,ce34ec7bc3514445baed68344b53e7d4,org.sonar.java.bytecode.se.BytecodeEGWalker,org.sonar.java.bytecode.se.BytecodeEGWalker_ESTest,18,0,False
