,benchmark_group,benchmark_name,npe_label,experiment_id,input_class,replayed_testsuite,compiled_tests,commented_tests,npe_reproduced
0,BugSwarm,Universal_G__Code_Sender-172454077,0,4266d8b2104b4bbb954fd06a30770961,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,40,0,False
1,BugSwarm,Universal_G__Code_Sender-172454077,0,9f392d47c46c48d791e578f3236669bf,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,42,0,False
2,BugSwarm,Universal_G__Code_Sender-172454077,0,b7e29b45f2864298b1d8077dcb12cd2a,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,42,0,False
3,BugSwarm,Universal_G__Code_Sender-172454077,0,8c0f525109054e3193eb74eb1eb954bf,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,41,0,False
4,BugSwarm,Universal_G__Code_Sender-172454077,0,589bd9926f3c4a4192802d723d13f25a,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,40,0,False
5,BugSwarm,Universal_G__Code_Sender-172454077,0,7a08e97f15404a3a860f72e8113ce338,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,43,0,False
6,BugSwarm,Universal_G__Code_Sender-172454077,0,0b085f277d624019b832c4f5dd7d4e08,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,43,0,False
7,BugSwarm,Universal_G__Code_Sender-172454077,0,0d91a32692d846e99d1ae9c28715af67,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,34,0,False
8,BugSwarm,Universal_G__Code_Sender-172454077,0,2dda14dd30154debbaf0b7eebc033635,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,45,0,False
9,BugSwarm,Universal_G__Code_Sender-172454077,0,bb6f100aaf3f445eaa265ad3a57ddb60,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,42,0,False
10,BugSwarm,Universal_G__Code_Sender-172454077,0,ec90747681d84b25aa8c27f958d25647,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,41,0,False
11,BugSwarm,Universal_G__Code_Sender-172454077,0,9524c1de136e44f9865a596c924197d1,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,40,0,False
12,BugSwarm,Universal_G__Code_Sender-172454077,0,53192d4ace6943848c10995d16d2fe35,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,43,0,False
13,BugSwarm,Universal_G__Code_Sender-172454077,0,b1c596e792ca4db487447237164e094e,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,38,0,False
14,BugSwarm,Universal_G__Code_Sender-172454077,0,d3c27520dcc2488e9439f6c086c1462a,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,40,0,False
15,BugSwarm,Universal_G__Code_Sender-172454077,0,9d9d1ad1b1dd47ceabf9bfe68832c385,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,42,0,False
16,BugSwarm,Universal_G__Code_Sender-172454077,0,7329140d233f4e0ca9efb17f35f8414d,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,42,0,False
17,BugSwarm,Universal_G__Code_Sender-172454077,0,753c17d6fc8e481a83042212c6a13610,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,40,0,False
18,BugSwarm,Universal_G__Code_Sender-172454077,0,a5b049f45ae24c4ab60e84b6cb782941,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,44,0,False
19,BugSwarm,Universal_G__Code_Sender-172454077,0,a6273fa6cc3649078b862cd8fe6d79a5,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,45,0,False
20,BugSwarm,Universal_G__Code_Sender-172454077,0,04cbf0de722d4622a7b165b4f4fa49ba,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,38,0,False
21,BugSwarm,Universal_G__Code_Sender-172454077,0,e72e9fcfa4874906bccf772774261d9f,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,37,0,False
22,BugSwarm,Universal_G__Code_Sender-172454077,0,db7b1172f95f42259d2c82fe95d371c4,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,42,0,False
23,BugSwarm,Universal_G__Code_Sender-172454077,0,dce8000ed8754ee0ae114b570fe7c4c1,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,38,0,False
24,BugSwarm,Universal_G__Code_Sender-172454077,0,a995e97f6a3d4fda8347fda68d32d3e9,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,40,0,False
25,BugSwarm,Universal_G__Code_Sender-172454077,0,6c89e40ab7d74e458a12c302c135ba0d,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,45,0,False
26,BugSwarm,Universal_G__Code_Sender-172454077,0,b6908e2365c74514aa8a310c5f631a0a,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,41,0,False
