,benchmark_group,benchmark_name,npe_label,experiment_id,input_class,replayed_testsuite,compiled_tests,commented_tests,npe_reproduced
0,BugSwarm,Universal_G__Code_Sender-172454077,0,b2ad45ac48554edca0b9222c28b93715,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,39,0,False
1,BugSwarm,Universal_G__Code_Sender-172454077,0,741872fea66a49b6bbe28df8d4bb467a,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,43,0,False
2,BugSwarm,Universal_G__Code_Sender-172454077,0,5eea2caedcab403aa1446de9b1d470a7,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,39,0,False
3,BugSwarm,Universal_G__Code_Sender-172454077,0,b70a06f558a4426eb696d719c8545653,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,38,0,False
4,BugSwarm,Universal_G__Code_Sender-172454077,0,1f52492be21b4200a13f9c53a6f6fd31,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,38,0,False
5,BugSwarm,Universal_G__Code_Sender-172454077,0,31dbe7b28a854af0894153c243faaf5d,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,40,0,False
6,BugSwarm,Universal_G__Code_Sender-172454077,0,c0d203cb589c40879b972bbe876cb627,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,39,0,False
7,BugSwarm,Universal_G__Code_Sender-172454077,0,d0bc827e17b94bfdac672e2259bf7014,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,41,0,False
8,BugSwarm,Universal_G__Code_Sender-172454077,0,b840d955d4884823a4dccf8cf886cb25,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,40,0,False
9,BugSwarm,Universal_G__Code_Sender-172454077,0,40310be1a80848969397b4c251541e1f,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,44,0,False
10,BugSwarm,Universal_G__Code_Sender-172454077,1,b2ad45ac48554edca0b9222c28b93715,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,39,0,False
11,BugSwarm,Universal_G__Code_Sender-172454077,1,741872fea66a49b6bbe28df8d4bb467a,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,43,0,False
12,BugSwarm,Universal_G__Code_Sender-172454077,1,5eea2caedcab403aa1446de9b1d470a7,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,39,0,False
13,BugSwarm,Universal_G__Code_Sender-172454077,1,b70a06f558a4426eb696d719c8545653,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,38,0,False
14,BugSwarm,Universal_G__Code_Sender-172454077,1,1f52492be21b4200a13f9c53a6f6fd31,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,38,0,False
15,BugSwarm,Universal_G__Code_Sender-172454077,1,31dbe7b28a854af0894153c243faaf5d,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,40,0,False
16,BugSwarm,Universal_G__Code_Sender-172454077,1,c0d203cb589c40879b972bbe876cb627,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,39,0,False
17,BugSwarm,Universal_G__Code_Sender-172454077,1,d0bc827e17b94bfdac672e2259bf7014,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,41,0,False
18,BugSwarm,Universal_G__Code_Sender-172454077,1,b840d955d4884823a4dccf8cf886cb25,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,40,0,False
19,BugSwarm,Universal_G__Code_Sender-172454077,1,40310be1a80848969397b4c251541e1f,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,44,0,False
20,BugSwarm,deadcode4j-131735009,0,9e00c13f16b4439181f02814aaff0a7b,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,28,0,False
21,BugSwarm,deadcode4j-131735009,0,900ae785f2b44fcf871d0369dfd8fdc4,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,45,0,False
22,BugSwarm,deadcode4j-131735009,0,082537ea14244e2ca34fffa92c9f7065,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,22,0,False
23,BugSwarm,deadcode4j-131735009,0,cb37af1d59184b9ea2b8b9723d50e9ce,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,30,0,False
24,BugSwarm,deadcode4j-131735009,0,698b9b4814014510a5459303ecad985d,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,24,0,False
25,BugSwarm,deadcode4j-131735009,0,37eaeb81f7474523af9ade577935bdc0,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,18,0,False
26,BugSwarm,deadcode4j-131735009,0,90bdf8f03d124760a427a9f2e72c2870,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,42,0,False
27,BugSwarm,deadcode4j-131735009,0,3578d0baa23744d2a60b63c7bd3ef59c,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,45,0,False
