,benchmark_group,benchmark_name,npe_label,experiment_id,input_class,replayed_testsuite,compiled_tests,commented_tests,npe_reproduced
0,BugSwarm,Universal_G__Code_Sender-172454077,0,2ee8beede582405295c8b888e41d2ec5,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,37,0,False
1,BugSwarm,Universal_G__Code_Sender-172454077,0,c2cab833c7e14fae97e3ebd5a9bc3c35,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,47,0,False
2,BugSwarm,Universal_G__Code_Sender-172454077,0,eea5a60734e641bfaf51b2dde0ed0988,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,38,0,False
3,BugSwarm,Universal_G__Code_Sender-172454077,0,a0837dd193a94472a767bc902940d553,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,40,0,False
4,BugSwarm,Universal_G__Code_Sender-172454077,0,8f9188a9d8274672829b898989707845,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,34,0,False
5,BugSwarm,Universal_G__Code_Sender-172454077,0,fe74d3656c3b408da7260bde747678f1,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,40,0,False
6,BugSwarm,Universal_G__Code_Sender-172454077,0,f56ef244be0e4229b62c4afbe92aeb9f,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,38,0,False
7,BugSwarm,Universal_G__Code_Sender-172454077,0,9856012b7d5e449395d36026893b9756,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,40,0,False
8,BugSwarm,Universal_G__Code_Sender-172454077,0,92097c2b588e41c0858529b75158888c,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,41,0,False
9,BugSwarm,Universal_G__Code_Sender-172454077,0,1db55c35dea74216b11b567659978a96,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,38,0,False
10,BugSwarm,Universal_G__Code_Sender-172454077,1,2ee8beede582405295c8b888e41d2ec5,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,37,0,False
11,BugSwarm,Universal_G__Code_Sender-172454077,1,c2cab833c7e14fae97e3ebd5a9bc3c35,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,47,0,False
12,BugSwarm,Universal_G__Code_Sender-172454077,1,eea5a60734e641bfaf51b2dde0ed0988,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,38,0,False
13,BugSwarm,Universal_G__Code_Sender-172454077,1,a0837dd193a94472a767bc902940d553,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,40,0,False
14,BugSwarm,Universal_G__Code_Sender-172454077,1,8f9188a9d8274672829b898989707845,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,34,0,False
