benchmark_name,npe_label,reproduction,reproduction_rate
acs_aem_commons-374231969,0,0,0
acs_aem_commons-461893214,0,0,0
acs_aem_commons-461893214,1,0,0
activemq_artemis-586abba9,0,0,0
activiti-31c8ea16,0,1,50
activiti-c45d6c3c,0,0,0
aries_jpa-97cb979d,0,0,0
artemis__odb-71816517,0,1,100
async_http_client-fbc6d486,0,0,0
atomix-298262068,0,0,0
avro-a3e05bee,0,1,40
bears-184,0,0,0
bears-189,0,1,100
bears-222,0,-1,-1
bears-46,0,0,0
bears-56,0,1,30
bears-70,0,0,0
bears-72,0,0,0
bears-88,0,1,30
bungeecord-130330788,0,1,100
byte_buddy-140517155,0,1,100
byte_buddy-95795967,0,1,100
checkstyle-16493bfb,0,0,0
checkstyle-4f73fffd,0,0,0
checkstyle-91e10c29,0,0,0
checkstyle-be8a60a4,0,1,80
cli-30,0,1,100
cli-30,1,1,100
commons_bcel-a46d927b,0,0,0
commons_collections-796114ea,0,0,0
commons_configuration-a76a3a65,0,1,60
commons_dbcp-2ee3c53e,0,1,100
commons_pool-11521c1f,0,0,0
csv-11,0,1,80
csv-9,0,1,100
cxf-209407e0,0,1,80
cxf-7cfc8d07,0,0,0
dataflowjavasdk-f42c13c8,0,0,0
dataverse-402758963,0,0,0
deadcode4j-131735009,0,0,0
directory_ldap_api-1aea113c,0,1,100
dubbo-416671625,0,1,100
easy_rules-d5385af5,0,1,90
fastjson-650a300f,0,1,20
feign-9c5a52d6,0,0,0
fop-10e0d1c2,0,1,90
fop-2eb9e215,0,-1,-1
graphhopper-210124629,0,0,0
hessian_lite-c5c017dc,0,1,90
hivemall-04fa7545,0,-1,-1
httpcomponents_client-1026a1e5,0,0,0
httpcomponents_client-f6333a50,0,1,80
httpcomponents_client-f6333a50,1,1,90
httpcomponents_client-f6333a50,2,1,100
httpcomponents_client-f6333a50,3,1,100
iotdb-9bced7b6,0,0,0
jannovar-249719464,0,0,0
java_websocket-a2b35482,0,0,0
javapoet-aee5f128,0,1,100
javaslang-0dab3ed3,0,1,100
jest-f34fa45e,0,0,0
jongo-97431a03,0,0,0
jsoup-8b837a43,0,1,100
jsoup-b8411990,0,1,100
jspwiki-d5bcff78,0,0,0
jsqlparser-66e44c95,0,1,30
karaf-b92dd7e4,0,0,0
log4j_2-5b7b75d5,0,0,0
log4j_2-6a233016,0,1,90
log4j_2-7441d3c3,0,1,100
log4j_2-85661de7,0,0,0
math-70,0,1,100
math-79,0,1,90
maven_doxia-fbe3e7c3,0,-1,-1
maven_release-c0b2304e,0,-1,-1
maven_surefire-e9f595bb,0,-1,-1
nflow-197273853,0,0,0
ninja-16aa9c14,0,1,90
nutz-87a4b212,0,1,80
okhttp-93618854,0,1,100
okhttp-93618854,1,1,100
opennlp-60792b8f,0,1,100
openpdf-a89dfdf5,0,1,60
pdfbox-55586aad,0,1,40
petergeneric__stdlib-290369132,0,1,70
picocli-06283710,0,0,0
prometheus_jvm_client-3d9a3302,0,-1,-1
qpid_proton__j-02998b38,0,0,0
qpid_proton__j-02998b38,1,0,0
qpid_proton__j-0c27d5ff,0,0,0
rest_countries-154683750,0,1,100
rest_countries-154683750,1,1,100
rest_countries-154683750,2,1,100
rest_countries-154683750,3,1,100
rest_countries-154683750,4,1,100
rest_countries-207869551,0,1,30
rocketmq-f5a119f1,0,0,0
shardingsphere-82b1b9d5,0,0,0
shardingsphere-9833fb9a,0,1,70
shardingsphere-c08f4f18,0,-1,-1
sling_pipes-81059025,0,0,0
sonar_java-295864289,0,0,0
tablesaw-7337d269,0,-1,-1
universal_g__code_sender-172454077,0,1,100
universal_g__code_sender-172454077,1,1,100
universal_g__code_sender-676666184,0,1,80
yamcs-186324159,0,1,90
zookeeper-ef3649f5,0,1,30
