,benchmark_group,benchmark_name,npe_label,experiment_id,input_class,replayed_testsuite,compiled_tests,commented_tests,npe_reproduced
0,BugSwarm,Universal_G__Code_Sender-172454077,0,4021385366d2482e926e35e50c561a93,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,44,0,True
1,BugSwarm,Universal_G__Code_Sender-172454077,0,aa625f90d3e440a5a933e54565d50b60,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,44,0,True
2,BugSwarm,Universal_G__Code_Sender-172454077,0,85a423e1fe0b4de9a696478067232555,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,42,0,True
3,BugSwarm,Universal_G__Code_Sender-172454077,0,56fe09416cd5467d991ccce94b2b6bb4,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,45,0,True
4,BugSwarm,Universal_G__Code_Sender-172454077,0,fd8f2e9421c442678f3d568e01a4f9ee,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,43,0,True
5,BugSwarm,Universal_G__Code_Sender-172454077,0,44bf9d09ca884c509a85c274bbc1b580,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,42,0,True
6,BugSwarm,Universal_G__Code_Sender-172454077,0,3716f236b0ce4e8fbe738ad9d5a69fb6,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,46,0,True
7,BugSwarm,Universal_G__Code_Sender-172454077,0,6a2175ab370f4440b11056d59a230655,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,43,0,True
8,BugSwarm,Universal_G__Code_Sender-172454077,0,107aa0e025a247fa8a4f42771522fead,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,43,0,True
9,BugSwarm,Universal_G__Code_Sender-172454077,0,4e0b696d2c554e21b3a9ba99ceeb2628,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,46,0,True
10,BugSwarm,Universal_G__Code_Sender-172454077,1,4021385366d2482e926e35e50c561a93,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,44,0,True
11,BugSwarm,Universal_G__Code_Sender-172454077,1,aa625f90d3e440a5a933e54565d50b60,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,44,0,True
12,BugSwarm,Universal_G__Code_Sender-172454077,1,85a423e1fe0b4de9a696478067232555,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,42,0,True
13,BugSwarm,Universal_G__Code_Sender-172454077,1,56fe09416cd5467d991ccce94b2b6bb4,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,45,0,True
14,BugSwarm,Universal_G__Code_Sender-172454077,1,fd8f2e9421c442678f3d568e01a4f9ee,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,43,0,True
15,BugSwarm,Universal_G__Code_Sender-172454077,1,44bf9d09ca884c509a85c274bbc1b580,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,42,0,True
16,BugSwarm,Universal_G__Code_Sender-172454077,1,3716f236b0ce4e8fbe738ad9d5a69fb6,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,46,0,True
17,BugSwarm,Universal_G__Code_Sender-172454077,1,6a2175ab370f4440b11056d59a230655,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,43,0,True
18,BugSwarm,Universal_G__Code_Sender-172454077,1,107aa0e025a247fa8a4f42771522fead,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,43,0,True
19,BugSwarm,Universal_G__Code_Sender-172454077,1,4e0b696d2c554e21b3a9ba99ceeb2628,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,46,0,True
20,BugSwarm,deadcode4j-131735009,0,f29e1ef625394493b8f05131478ee075,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,132,0,False
21,BugSwarm,deadcode4j-131735009,0,9f170cb428af4893a116c024a9298034,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,140,0,False
22,BugSwarm,deadcode4j-131735009,0,6d30e54a80ab4d7e8ad6bb660c7b5263,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,131,0,False
23,BugSwarm,deadcode4j-131735009,0,7781010a36e847f8b32bbef5e83f5059,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,133,0,False
24,BugSwarm,deadcode4j-131735009,0,bb7c4c8590344f65844542759b2c3c16,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,133,0,False
25,BugSwarm,deadcode4j-131735009,0,b694ffc81bec4f3ca399e95aa468a013,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,140,0,False
26,BugSwarm,Sonar_Java-295864289,0,8fb87547988a4eb2ac79594f8cfd8e85,org.sonar.java.bytecode.se.BytecodeEGWalker,org.sonar.java.bytecode.se.BytecodeEGWalker_ESTest,20,0,False
27,BugSwarm,Sonar_Java-295864289,0,db81e66fb0c143f28729f35fef946ce4,org.sonar.java.bytecode.se.BytecodeEGWalker,org.sonar.java.bytecode.se.BytecodeEGWalker_ESTest,202,0,False
28,BugSwarm,Sonar_Java-295864289,0,34b9002763eb49d6a8f90e5eefb6020f,org.sonar.java.bytecode.se.BytecodeEGWalker,org.sonar.java.bytecode.se.BytecodeEGWalker_ESTest,19,0,False
29,BugSwarm,Sonar_Java-295864289,0,af1849f30b1c41ceb574546ec360a4f5,org.sonar.java.bytecode.se.BytecodeEGWalker,org.sonar.java.bytecode.se.BytecodeEGWalker_ESTest,21,0,False
30,BugSwarm,Sonar_Java-295864289,0,7bd1efef4d17425ab5ca734e7de07652,org.sonar.java.bytecode.se.BytecodeEGWalker,org.sonar.java.bytecode.se.BytecodeEGWalker_ESTest,20,0,False
31,BugSwarm,Sonar_Java-295864289,0,52652d56352c4ff2a641d1d33e6fd10a,org.sonar.java.bytecode.se.BytecodeEGWalker,org.sonar.java.bytecode.se.BytecodeEGWalker_ESTest,19,0,False
32,BugSwarm,Sonar_Java-295864289,0,94d99ced78384f3ebe6dbc0a5307b681,org.sonar.java.bytecode.se.BytecodeEGWalker,org.sonar.java.bytecode.se.BytecodeEGWalker_ESTest,20,0,False
33,BugSwarm,Sonar_Java-295864289,0,e7a836bd847c457da7fbe2edc99400e5,org.sonar.java.bytecode.se.BytecodeEGWalker,org.sonar.java.bytecode.se.BytecodeEGWalker_ESTest,21,0,False
34,BugSwarm,Sonar_Java-295864289,0,fc3135852ea14acdb924d98566ef2f21,org.sonar.java.bytecode.se.BytecodeEGWalker,org.sonar.java.bytecode.se.BytecodeEGWalker_ESTest,20,0,False
35,BugSwarm,Sonar_Java-295864289,0,d4f5582f870c44418f2065a3a4c7516b,org.sonar.java.bytecode.se.BytecodeEGWalker,org.sonar.java.bytecode.se.BytecodeEGWalker_ESTest,19,0,False
36,BugSwarm,Sonar_Java-295864289,0,a3748b8b9851489c8f3a3441cd5a968d,org.sonar.java.bytecode.se.BytecodeEGWalker,org.sonar.java.bytecode.se.BytecodeEGWalker_ESTest,21,0,False
37,BugSwarm,Petergeneric__Stdlib-290369132,0,849fab72510b4984a74633b9eb0cd578,com.peterphi.std.guice.hibernate.webquery.impl.jpa.JPASearchExecutor,com.peterphi.std.guice.hibernate.webquery.impl.jpa.JPASearchExecutor_ESTest,2,0,True
38,BugSwarm,Petergeneric__Stdlib-290369132,0,90a47c622a0f4bfcac73b6e0fd99bc95,com.peterphi.std.guice.hibernate.webquery.impl.jpa.JPASearchExecutor,com.peterphi.std.guice.hibernate.webquery.impl.jpa.JPASearchExecutor_ESTest,2,0,True
39,BugSwarm,Petergeneric__Stdlib-290369132,0,6e41b804907c4486b48edbd80eb0257f,com.peterphi.std.guice.hibernate.webquery.impl.jpa.JPASearchExecutor,com.peterphi.std.guice.hibernate.webquery.impl.jpa.JPASearchExecutor_ESTest,2,0,True
40,BugSwarm,Petergeneric__Stdlib-290369132,0,0de700279cef42ffa768d40d707b2b48,com.peterphi.std.guice.hibernate.webquery.impl.jpa.JPASearchExecutor,com.peterphi.std.guice.hibernate.webquery.impl.jpa.JPASearchExecutor_ESTest,1,0,True
41,BugSwarm,Petergeneric__Stdlib-290369132,0,f87ccdfd290e4bb3a35aa926772f94af,com.peterphi.std.guice.hibernate.webquery.impl.jpa.JPASearchExecutor,com.peterphi.std.guice.hibernate.webquery.impl.jpa.JPASearchExecutor_ESTest,2,0,True
42,BugSwarm,Petergeneric__Stdlib-290369132,0,e5efd915004444b69b33a611063c13d3,com.peterphi.std.guice.hibernate.webquery.impl.jpa.JPASearchExecutor,com.peterphi.std.guice.hibernate.webquery.impl.jpa.JPASearchExecutor_ESTest,3,0,True
43,BugSwarm,Petergeneric__Stdlib-290369132,0,090edc49b7804d489b5b0e06428bba02,com.peterphi.std.guice.hibernate.webquery.impl.jpa.JPASearchExecutor,com.peterphi.std.guice.hibernate.webquery.impl.jpa.JPASearchExecutor_ESTest,3,0,True
44,BugSwarm,Petergeneric__Stdlib-290369132,0,2d4104b35ec649128cd0e28c37116501,com.peterphi.std.guice.hibernate.webquery.impl.jpa.JPASearchExecutor,com.peterphi.std.guice.hibernate.webquery.impl.jpa.JPASearchExecutor_ESTest,2,0,True
45,BugSwarm,Atomix-298262068,0,b7ba9aebd3ac44b28e6b18860daabfe6,io.atomix.primitives.leadership.impl.RaftLeaderElectorService,io.atomix.primitives.leadership.impl.RaftLeaderElectorService_ESTest,20,0,False
46,BugSwarm,Atomix-298262068,0,f5004c6a948c476a9e13d62eb2519282,io.atomix.primitives.leadership.impl.RaftLeaderElectorService,io.atomix.primitives.leadership.impl.RaftLeaderElectorService_ESTest,20,0,False
47,BugSwarm,Atomix-298262068,0,bccdac368c0642abb069557d8518cded,io.atomix.primitives.leadership.impl.RaftLeaderElectorService,io.atomix.primitives.leadership.impl.RaftLeaderElectorService_ESTest,20,0,False
48,BugSwarm,Atomix-298262068,0,42a897daef984c9ebd4418e70aa2da87,io.atomix.primitives.leadership.impl.RaftLeaderElectorService,io.atomix.primitives.leadership.impl.RaftLeaderElectorService_ESTest,20,0,False
49,BugSwarm,Atomix-298262068,0,647f1b84d9f44186a224dbcb3520d479,io.atomix.primitives.leadership.impl.RaftLeaderElectorService,io.atomix.primitives.leadership.impl.RaftLeaderElectorService_ESTest,20,0,False
50,BugSwarm,Atomix-298262068,0,973951a7a8c14fac8e7dfc7d539cabc8,io.atomix.primitives.leadership.impl.RaftLeaderElectorService,io.atomix.primitives.leadership.impl.RaftLeaderElectorService_ESTest,15,0,False
51,BugSwarm,Atomix-298262068,0,a54ae3461f2441c0ba04178213d5f5a0,io.atomix.primitives.leadership.impl.RaftLeaderElectorService,io.atomix.primitives.leadership.impl.RaftLeaderElectorService_ESTest,20,0,False
52,BugSwarm,Atomix-298262068,0,5a6b578515c841d6af0de50c8ddd6697,io.atomix.primitives.leadership.impl.RaftLeaderElectorService,io.atomix.primitives.leadership.impl.RaftLeaderElectorService_ESTest,18,0,False
53,BugSwarm,Atomix-298262068,0,325e4a68336746f4a82b871ebbf3663c,io.atomix.primitives.leadership.impl.RaftLeaderElectorService,io.atomix.primitives.leadership.impl.RaftLeaderElectorService_ESTest,20,0,False
54,BugSwarm,Atomix-298262068,0,1b959ae0f3b04aee9cb9aa00ac4abf78,io.atomix.primitives.leadership.impl.RaftLeaderElectorService,io.atomix.primitives.leadership.impl.RaftLeaderElectorService_ESTest,20,0,False
55,BugSwarm,Atomix-298262068,0,bf74916e06d24ebb89d3b0a36ea701d8,io.atomix.primitives.leadership.impl.RaftLeaderElectorService,io.atomix.primitives.leadership.impl.RaftLeaderElectorService_ESTest,20,0,False
56,BugSwarm,Atomix-298262068,0,3df0dcdcd4524c0bb792bdbdb01148fa,io.atomix.primitives.leadership.impl.RaftLeaderElectorService,io.atomix.primitives.leadership.impl.RaftLeaderElectorService_ESTest,18,0,False
57,BugSwarm,Atomix-298262068,0,aae496cb72a04b55b5dc6e6c3aac7b37,io.atomix.primitives.leadership.impl.RaftLeaderElectorService,io.atomix.primitives.leadership.impl.RaftLeaderElectorService_ESTest,20,0,False
