,benchmark_group,benchmark_name,npe_label,experiment_id,input_class,replayed_testsuite,compiled_tests,commented_tests,npe_reproduced
0,BugSwarm,Universal_G__Code_Sender-172454077,0,28e4651b198342a9b9efb8df4b147884,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,41,0,False
1,BugSwarm,Universal_G__Code_Sender-172454077,0,9daf450d25434b9998300de14b86ae97,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,46,0,False
2,BugSwarm,Universal_G__Code_Sender-172454077,0,b4946b63c095466ab9ba15b4fda37557,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,45,0,False
3,BugSwarm,Universal_G__Code_Sender-172454077,0,ab747232fb82495b8088d4d8abe7f6be,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,43,0,False
4,BugSwarm,Universal_G__Code_Sender-172454077,0,023ae0cdad6145598ea258ddd4c760b6,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,42,0,False
5,BugSwarm,Universal_G__Code_Sender-172454077,0,4b6258abeadd498baade26ee341faa51,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,45,0,False
6,BugSwarm,Universal_G__Code_Sender-172454077,0,e99416760a0e4e68a40f4a8b550aa313,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,45,0,False
7,BugSwarm,Universal_G__Code_Sender-172454077,0,f896148016d94ae49ff2b78cc20fc913,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,42,0,False
8,BugSwarm,Universal_G__Code_Sender-172454077,0,352da52eb6bc4befbaab54adb23c1c08,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,65,0,False
9,BugSwarm,Universal_G__Code_Sender-172454077,0,8ebad41c511f481080e38bb754afee44,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,44,0,False
10,BugSwarm,Universal_G__Code_Sender-172454077,1,28e4651b198342a9b9efb8df4b147884,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,41,0,False
11,BugSwarm,Universal_G__Code_Sender-172454077,1,9daf450d25434b9998300de14b86ae97,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,46,0,False
12,BugSwarm,Universal_G__Code_Sender-172454077,1,b4946b63c095466ab9ba15b4fda37557,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,45,0,False
13,BugSwarm,Universal_G__Code_Sender-172454077,1,ab747232fb82495b8088d4d8abe7f6be,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,43,0,False
14,BugSwarm,Universal_G__Code_Sender-172454077,1,023ae0cdad6145598ea258ddd4c760b6,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,42,0,False
15,BugSwarm,Universal_G__Code_Sender-172454077,1,4b6258abeadd498baade26ee341faa51,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,45,0,False
16,BugSwarm,Universal_G__Code_Sender-172454077,1,e99416760a0e4e68a40f4a8b550aa313,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,45,0,False
17,BugSwarm,Universal_G__Code_Sender-172454077,1,f896148016d94ae49ff2b78cc20fc913,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,42,0,False
18,BugSwarm,Universal_G__Code_Sender-172454077,1,352da52eb6bc4befbaab54adb23c1c08,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,65,0,False
