,benchmark_group,benchmark_name,npe_label,experiment_id,input_class,replayed_testsuite,compiled_tests,commented_tests,npe_reproduced
0,BugSwarm,Universal_G__Code_Sender-172454077,0,708b61568e8546a2936d96a0f5214bb2,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,42,0,False
1,BugSwarm,Universal_G__Code_Sender-172454077,0,3d75ab3db3a94347976217516f221c04,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,42,0,False
2,BugSwarm,Universal_G__Code_Sender-172454077,0,8d14bdb54f87455bbd60297456c9cb56,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,44,0,False
3,BugSwarm,Universal_G__Code_Sender-172454077,0,3c41c36cf12d4583b0edb6cdca1933ea,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,62,0,False
4,BugSwarm,Universal_G__Code_Sender-172454077,0,b2ccee1cd26b4885839dac58b4d5c7fe,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,43,0,False
5,BugSwarm,Universal_G__Code_Sender-172454077,0,407321f73e024e849dc020cbb99be9b4,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,43,0,False
6,BugSwarm,Universal_G__Code_Sender-172454077,0,ee381c145e2f42a8a635739a9de09cda,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,42,0,False
7,BugSwarm,Universal_G__Code_Sender-172454077,0,92df85e7f5e049f894fd8ced88658f78,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,62,0,False
8,BugSwarm,Universal_G__Code_Sender-172454077,0,5d7e991510464885ae8fd0c56ca6c0d4,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,43,0,False
9,BugSwarm,Universal_G__Code_Sender-172454077,0,b00fa6a534ce49618b9c4104bd776efb,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,65,0,False
10,BugSwarm,Universal_G__Code_Sender-172454077,0,d025c9760ac649b3a17a017d0d573fcf,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,41,0,False
11,BugSwarm,Universal_G__Code_Sender-172454077,0,b1decb191b14486099b7b9a4b4e61ace,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,43,0,False
12,BugSwarm,Universal_G__Code_Sender-172454077,0,21b5dbde1a2f47f68269b07eefc1a8be,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,42,0,False
13,BugSwarm,Universal_G__Code_Sender-172454077,0,8430b8a302a54551885fb0fed17a3047,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,41,0,False
14,BugSwarm,Universal_G__Code_Sender-172454077,0,d2d5ef26c5544480a43acd2b35c796ac,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,43,0,False
