,benchmark_group,benchmark_name,npe_label,experiment_id,input_class,replayed_testsuite,compiled_tests,commented_tests,npe_reproduced
0,BugSwarm,Universal_G__Code_Sender-172454077,0,5bff025b1bde4156ae86cbbbe101a1e8,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,66,0,False
1,BugSwarm,Universal_G__Code_Sender-172454077,0,e6374496ba554a20bb53f2a3e3af14aa,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,71,0,False
2,BugSwarm,Universal_G__Code_Sender-172454077,0,4fa091bef5b6450c972e08f2b241ad59,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,70,0,False
3,BugSwarm,Universal_G__Code_Sender-172454077,0,73f1813667ce44598c03e2afaa8105ff,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,63,0,False
4,BugSwarm,Universal_G__Code_Sender-172454077,0,cd79e0d1422646cd8ba0556e75d19bd5,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,71,0,False
5,BugSwarm,Universal_G__Code_Sender-172454077,0,29d01f4444c84793b00af2abcf237a8b,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,66,0,False
6,BugSwarm,Universal_G__Code_Sender-172454077,0,14d2798a8a7b4ccbb3ab7bd609faa3e6,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,71,0,False
7,BugSwarm,Universal_G__Code_Sender-172454077,0,8258ded170654f21a9c55bf0258e316b,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,65,0,False
8,BugSwarm,Universal_G__Code_Sender-172454077,0,0a7993d5e6ae4268953a017c364a6935,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,57,0,False
9,BugSwarm,Universal_G__Code_Sender-172454077,0,6227945314734e69a4e6c4564bdace06,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,60,0,False
10,BugSwarm,Universal_G__Code_Sender-172454077,0,45f1bba4723143588dc58160f03a65f4,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,67,0,False
11,BugSwarm,Universal_G__Code_Sender-172454077,0,45c960f05c3149e68d2afa69f4ceaee4,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,68,0,False
12,BugSwarm,Universal_G__Code_Sender-172454077,0,bd5c7ba5fd4546bfa431dd93d8bc5a98,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,72,0,False
13,BugSwarm,Universal_G__Code_Sender-172454077,0,e70192fb51744eef9c4e9c4e27ad2e04,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,68,0,False
14,BugSwarm,Universal_G__Code_Sender-172454077,0,35cdb39d58d54f348476b71f9fc59d4c,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,65,0,False
15,BugSwarm,Universal_G__Code_Sender-172454077,0,9347de712a2447f380a6796bb0ce9202,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,74,0,False
16,BugSwarm,Universal_G__Code_Sender-172454077,0,1ad089f5c5174146b03a0555cb886645,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,60,0,False
17,BugSwarm,Universal_G__Code_Sender-172454077,0,acf13307970c460c839eb4afb1477a56,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,61,0,False
18,BugSwarm,Universal_G__Code_Sender-172454077,1,5bff025b1bde4156ae86cbbbe101a1e8,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,66,0,False
19,BugSwarm,Universal_G__Code_Sender-172454077,1,e6374496ba554a20bb53f2a3e3af14aa,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,71,0,False
20,BugSwarm,Universal_G__Code_Sender-172454077,1,4fa091bef5b6450c972e08f2b241ad59,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,70,0,False
21,BugSwarm,Universal_G__Code_Sender-172454077,1,73f1813667ce44598c03e2afaa8105ff,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,63,0,False
22,BugSwarm,Universal_G__Code_Sender-172454077,1,cd79e0d1422646cd8ba0556e75d19bd5,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,71,0,False
23,BugSwarm,Universal_G__Code_Sender-172454077,1,29d01f4444c84793b00af2abcf237a8b,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,66,0,False
24,BugSwarm,Universal_G__Code_Sender-172454077,1,14d2798a8a7b4ccbb3ab7bd609faa3e6,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,71,0,False
25,BugSwarm,Universal_G__Code_Sender-172454077,1,8258ded170654f21a9c55bf0258e316b,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,65,0,False
26,BugSwarm,Universal_G__Code_Sender-172454077,1,0a7993d5e6ae4268953a017c364a6935,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,57,0,False
27,BugSwarm,Universal_G__Code_Sender-172454077,1,6227945314734e69a4e6c4564bdace06,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,60,0,False
28,BugSwarm,Universal_G__Code_Sender-172454077,1,45f1bba4723143588dc58160f03a65f4,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,67,0,False
29,BugSwarm,Universal_G__Code_Sender-172454077,1,45c960f05c3149e68d2afa69f4ceaee4,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,68,0,False
30,BugSwarm,Universal_G__Code_Sender-172454077,1,bd5c7ba5fd4546bfa431dd93d8bc5a98,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,72,0,False
31,BugSwarm,Universal_G__Code_Sender-172454077,1,e70192fb51744eef9c4e9c4e27ad2e04,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,68,0,False
32,BugSwarm,Universal_G__Code_Sender-172454077,1,35cdb39d58d54f348476b71f9fc59d4c,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,65,0,False
33,BugSwarm,Universal_G__Code_Sender-172454077,1,9347de712a2447f380a6796bb0ce9202,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,74,0,False
34,BugSwarm,Universal_G__Code_Sender-172454077,1,1ad089f5c5174146b03a0555cb886645,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,60,0,False
35,BugSwarm,Universal_G__Code_Sender-172454077,1,acf13307970c460c839eb4afb1477a56,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,61,0,False
36,BugSwarm,deadcode4j-131735009,0,60a0d22ee7434505bcbf52a71293334d,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,154,0,False
37,BugSwarm,deadcode4j-131735009,0,f1fd8a1c839a41f6bc666eb59a045659,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,157,0,False
38,BugSwarm,deadcode4j-131735009,0,eb498abc36194b5191fc8ec191ab9539,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,160,0,False
39,BugSwarm,deadcode4j-131735009,0,d015f6ca5e614f6cb9c7cca8bb83a25d,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,168,0,False
