,benchmark_group,benchmark_name,npe_label,experiment_id,input_class,replayed_testsuite,compiled_tests,commented_tests,npe_reproduced
0,BugSwarm,Universal_G__Code_Sender-172454077,0,dcf3291fcccf44b0a90bb966d8c4b096,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,80,0,False
1,BugSwarm,Universal_G__Code_Sender-172454077,0,f9af56664ab14c92a827ef73cc3ceb86,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,69,0,False
2,BugSwarm,Universal_G__Code_Sender-172454077,0,936798b145af4a6f9df75346d6c7e566,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,83,0,False
3,BugSwarm,Universal_G__Code_Sender-172454077,0,1458d5cc3d834b4c8a769c4f0c1b423d,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,82,0,False
4,BugSwarm,Universal_G__Code_Sender-172454077,1,dcf3291fcccf44b0a90bb966d8c4b096,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,80,0,False
5,BugSwarm,Universal_G__Code_Sender-172454077,1,f9af56664ab14c92a827ef73cc3ceb86,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,69,0,False
6,BugSwarm,Universal_G__Code_Sender-172454077,1,936798b145af4a6f9df75346d6c7e566,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,83,0,False
7,BugSwarm,Universal_G__Code_Sender-172454077,1,1458d5cc3d834b4c8a769c4f0c1b423d,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,82,0,False
8,BugSwarm,deadcode4j-131735009,0,ecf4c936a56b4e078c990ba1296ff7d4,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,199,0,False
9,BugSwarm,deadcode4j-131735009,0,f6a98838856649118fdeea73c5552471,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,211,0,False
10,BugSwarm,deadcode4j-131735009,0,edff3cf80664461ea72fda3df7300dd0,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,189,0,False
11,BugSwarm,deadcode4j-131735009,0,dca90836e3174aa895845f7f5837d205,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,180,0,False
12,BugSwarm,deadcode4j-131735009,0,5b46a5c555bd4b4ca21034c41f25e67d,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,417,0,False
13,BugSwarm,deadcode4j-131735009,0,00ded497de8644a0b97540f08f1bff57,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,182,0,False
14,BugSwarm,Sonar_Java-295864289,0,7be2adc0902c4969894eeb074fb327c0,org.sonar.java.bytecode.se.BytecodeEGWalker,org.sonar.java.bytecode.se.BytecodeEGWalker_ESTest,122,0,False
15,BugSwarm,Petergeneric__Stdlib-290369132,0,c8978803ae934c88afa0a764b6dbbb14,com.peterphi.std.guice.hibernate.webquery.impl.jpa.JPASearchExecutor,com.peterphi.std.guice.hibernate.webquery.impl.jpa.JPASearchExecutor_ESTest,3,0,True
16,BugSwarm,Atomix-298262068,0,55a208fc8d654e0781a1a31ab0f57436,io.atomix.primitives.leadership.impl.RaftLeaderElectorService,io.atomix.primitives.leadership.impl.RaftLeaderElectorService_ESTest,31,0,False
17,BugSwarm,Atomix-298262068,0,bd5bc0373e174935aab4ef975cfa0dc2,io.atomix.primitives.leadership.impl.RaftLeaderElectorService,io.atomix.primitives.leadership.impl.RaftLeaderElectorService_ESTest,35,0,False
18,BugSwarm,Atomix-298262068,0,d2f475bc3abc487ca79ddbe895b9168e,io.atomix.primitives.leadership.impl.RaftLeaderElectorService,io.atomix.primitives.leadership.impl.RaftLeaderElectorService_ESTest,29,0,False
19,BugSwarm,Atomix-298262068,0,f87c99701800422e96a2edb74d8c2b5d,io.atomix.primitives.leadership.impl.RaftLeaderElectorService,io.atomix.primitives.leadership.impl.RaftLeaderElectorService_ESTest,28,0,False
20,BugSwarm,Atomix-298262068,0,ab3188447aad453f8779f7309a0db064,io.atomix.primitives.leadership.impl.RaftLeaderElectorService,io.atomix.primitives.leadership.impl.RaftLeaderElectorService_ESTest,33,0,False
21,BugSwarm,Atomix-298262068,0,3139386c329045b5b6a7c168e8fe5cde,io.atomix.primitives.leadership.impl.RaftLeaderElectorService,io.atomix.primitives.leadership.impl.RaftLeaderElectorService_ESTest,34,0,False
22,BugSwarm,Atomix-298262068,0,2313f27ccb7344e98358f4847415bbfb,io.atomix.primitives.leadership.impl.RaftLeaderElectorService,io.atomix.primitives.leadership.impl.RaftLeaderElectorService_ESTest,35,0,False
23,BugSwarm,Atomix-298262068,0,0e7eb552c56d4d489ef322bcefec1f4c,io.atomix.primitives.leadership.impl.RaftLeaderElectorService,io.atomix.primitives.leadership.impl.RaftLeaderElectorService_ESTest,44,0,False
24,BugSwarm,Atomix-298262068,0,5f59108a706b48e491c1807310be1fbc,io.atomix.primitives.leadership.impl.RaftLeaderElectorService,io.atomix.primitives.leadership.impl.RaftLeaderElectorService_ESTest,42,0,False
25,BugSwarm,Atomix-298262068,0,60b45674420c45998dade91c4d3934fb,io.atomix.primitives.leadership.impl.RaftLeaderElectorService,io.atomix.primitives.leadership.impl.RaftLeaderElectorService_ESTest,26,0,False
26,BugSwarm,Atomix-298262068,0,fa2599cb6cba43bfb43d8f79c5f91104,io.atomix.primitives.leadership.impl.RaftLeaderElectorService,io.atomix.primitives.leadership.impl.RaftLeaderElectorService_ESTest,33,0,False
27,BugSwarm,Atomix-298262068,0,e888256c1a874cb7a1815e0bd0fd0151,io.atomix.primitives.leadership.impl.RaftLeaderElectorService,io.atomix.primitives.leadership.impl.RaftLeaderElectorService_ESTest,34,0,False
28,BugSwarm,Atomix-298262068,0,7f8da1cda2d547c1a97629c7ac733185,io.atomix.primitives.leadership.impl.RaftLeaderElectorService,io.atomix.primitives.leadership.impl.RaftLeaderElectorService_ESTest,37,0,False
29,BugSwarm,Atomix-298262068,0,2ee0f92d9a944778855d111cefe7f5fc,io.atomix.primitives.leadership.impl.RaftLeaderElectorService,io.atomix.primitives.leadership.impl.RaftLeaderElectorService_ESTest,45,0,False
30,BugSwarm,Atomix-298262068,0,d2e2bf5d24a14837982450da5c508395,io.atomix.primitives.leadership.impl.RaftLeaderElectorService,io.atomix.primitives.leadership.impl.RaftLeaderElectorService_ESTest,28,0,False
31,BugSwarm,Jannovar-249719464,0,8dfc48c744a34ee28e5bda0408463173,de.charite.compbio.jannovar.cmd.annotate_vcf.JannovarAnnotateVCFOptions,de.charite.compbio.jannovar.cmd.annotate_vcf.JannovarAnnotateVCFOptions_ESTest,136,0,False
32,BugSwarm,Jannovar-249719464,0,33ee245e6a0b45cb933d84a00bfff0b0,de.charite.compbio.jannovar.cmd.annotate_vcf.JannovarAnnotateVCFOptions,de.charite.compbio.jannovar.cmd.annotate_vcf.JannovarAnnotateVCFOptions_ESTest,134,0,False
33,BugSwarm,Jannovar-249719464,0,d3c1fd270183451381e900b0bc3d3c0d,de.charite.compbio.jannovar.cmd.annotate_vcf.JannovarAnnotateVCFOptions,de.charite.compbio.jannovar.cmd.annotate_vcf.JannovarAnnotateVCFOptions_ESTest,135,0,False
34,BugSwarm,Jannovar-249719464,0,164a1a86f76748c39639be909ea144cb,de.charite.compbio.jannovar.cmd.annotate_vcf.JannovarAnnotateVCFOptions,de.charite.compbio.jannovar.cmd.annotate_vcf.JannovarAnnotateVCFOptions_ESTest,132,0,False
