,benchmark_group,benchmark_name,npe_label,experiment_id,input_class,replayed_testsuite,compiled_tests,commented_tests,npe_reproduced
0,BugSwarm,Atomix-298262068,0,02a704fb986848efac0a97268bae7520,io.atomix.primitives.leadership.impl.RaftLeaderElectorService,io.atomix.primitives.leadership.impl.RaftLeaderElectorService_ESTest,46,0,False
1,BugSwarm,Atomix-298262068,0,377f0c1413ba4c43b88ea22c9ca76071,io.atomix.primitives.leadership.impl.RaftLeaderElectorService,io.atomix.primitives.leadership.impl.RaftLeaderElectorService_ESTest,47,0,False
2,BugSwarm,Atomix-298262068,0,057f450af9e7424dac8776cbf51af460,io.atomix.primitives.leadership.impl.RaftLeaderElectorService,io.atomix.primitives.leadership.impl.RaftLeaderElectorService_ESTest,35,0,False
3,BugSwarm,Atomix-298262068,0,872ae469a6f1453c967c58e089332f7a,io.atomix.primitives.leadership.impl.RaftLeaderElectorService,io.atomix.primitives.leadership.impl.RaftLeaderElectorService_ESTest,42,0,False
4,BugSwarm,Atomix-298262068,0,ffae9cc5239447a383b3d8066e91614e,io.atomix.primitives.leadership.impl.RaftLeaderElectorService,io.atomix.primitives.leadership.impl.RaftLeaderElectorService_ESTest,32,0,False
5,BugSwarm,Atomix-298262068,0,582d32c6979749b9b871b230ffb1bf44,io.atomix.primitives.leadership.impl.RaftLeaderElectorService,io.atomix.primitives.leadership.impl.RaftLeaderElectorService_ESTest,35,0,False
6,BugSwarm,Atomix-298262068,0,f9497289816a4a10925106182badceda,io.atomix.primitives.leadership.impl.RaftLeaderElectorService,io.atomix.primitives.leadership.impl.RaftLeaderElectorService_ESTest,48,0,False
7,BugSwarm,Atomix-298262068,0,e3b8face5c2348b1bb7ed2caa9a8f31a,io.atomix.primitives.leadership.impl.RaftLeaderElectorService,io.atomix.primitives.leadership.impl.RaftLeaderElectorService_ESTest,44,0,False
8,BugSwarm,Jannovar-249719464,0,13d9fd2aa8884cff8f1b7ea6f2b803a6,de.charite.compbio.jannovar.cmd.annotate_vcf.JannovarAnnotateVCFOptions,de.charite.compbio.jannovar.cmd.annotate_vcf.JannovarAnnotateVCFOptions_ESTest,133,0,False
9,BugSwarm,Jannovar-249719464,0,e5d07ad6006f457cbc1fc19c544ad078,de.charite.compbio.jannovar.cmd.annotate_vcf.JannovarAnnotateVCFOptions,de.charite.compbio.jannovar.cmd.annotate_vcf.JannovarAnnotateVCFOptions_ESTest,131,0,False
10,BugSwarm,Jannovar-249719464,0,8b5b33280f724562a923f45ccfe993e1,de.charite.compbio.jannovar.cmd.annotate_vcf.JannovarAnnotateVCFOptions,de.charite.compbio.jannovar.cmd.annotate_vcf.JannovarAnnotateVCFOptions_ESTest,131,0,False
11,BugSwarm,Jannovar-249719464,0,5d4af917a214471394b66aebc773bbf8,de.charite.compbio.jannovar.cmd.annotate_vcf.JannovarAnnotateVCFOptions,de.charite.compbio.jannovar.cmd.annotate_vcf.JannovarAnnotateVCFOptions_ESTest,129,0,False
12,BugSwarm,Jannovar-249719464,0,3191401ffe7448b3907b29e18f7ca320,de.charite.compbio.jannovar.cmd.annotate_vcf.JannovarAnnotateVCFOptions,de.charite.compbio.jannovar.cmd.annotate_vcf.JannovarAnnotateVCFOptions_ESTest,135,0,False
13,BugSwarm,Byte_Buddy-95795967,0,5620b63c85f24cbbbcbf06a5be16b989,net.bytebuddy.dynamic.ClassFileLocator,net.bytebuddy.dynamic.ClassFileLocator_ESTest,92,0,True
14,BugSwarm,Byte_Buddy-95795967,0,7d00249dcae4416299edeb1848003104,net.bytebuddy.dynamic.ClassFileLocator,net.bytebuddy.dynamic.ClassFileLocator_ESTest,94,0,True
15,BugSwarm,OkHttp-93618854,0,d71c9e43536b4fecb89f0618aeb5b001,com.squareup.okhttp.internal.http.StreamAllocation,com.squareup.okhttp.internal.http.StreamAllocation_ESTest,46,0,True
16,BugSwarm,OkHttp-93618854,1,d71c9e43536b4fecb89f0618aeb5b001,com.squareup.okhttp.internal.http.StreamAllocation,com.squareup.okhttp.internal.http.StreamAllocation_ESTest,46,0,True
17,BugSwarm,Artemis__odb-71816517,0,e6567b4790b4418a91086daefddad10b,com.artemis.EntityEditPool,com.artemis.EntityEditPool_ESTest,19,0,True
18,BugSwarm,Artemis__odb-71816517,0,2227fefd591d4df596ee7438681c4b7d,com.artemis.EntityEditPool,com.artemis.EntityEditPool_ESTest,20,0,True
19,BugSwarm,Artemis__odb-71816517,0,4a53bb39f64f430185aa3f5b8b0443a3,com.artemis.EntityEditPool,com.artemis.EntityEditPool_ESTest,20,0,True
20,BugSwarm,Artemis__odb-71816517,0,b79c4f1b78bc4e0b8f2b64318ec7c273,com.artemis.EntityEditPool,com.artemis.EntityEditPool_ESTest,20,0,True
21,BugSwarm,Artemis__odb-71816517,0,475a0b138d2d4af6b852bed8278b103b,com.artemis.EntityEditPool,com.artemis.EntityEditPool_ESTest,19,0,True
22,BugSwarm,Artemis__odb-71816517,0,cbb28f1adff24cf58f516307bbe0320a,com.artemis.EntityEditPool,com.artemis.EntityEditPool_ESTest,20,0,True
23,BugSwarm,Artemis__odb-71816517,0,86ada519f5464eaf9b0f435f2febd15f,com.artemis.EntityEditPool,com.artemis.EntityEditPool_ESTest,19,0,True
24,BugSwarm,Artemis__odb-71816517,0,a54bfd4fcb824245beff2038be9cf7e5,com.artemis.EntityEditPool,com.artemis.EntityEditPool_ESTest,19,0,True
25,BugSwarm,Artemis__odb-71816517,0,af1317908e4845769131d91956dba119,com.artemis.EntityEditPool,com.artemis.EntityEditPool_ESTest,19,0,True
26,BugSwarm,BungeeCord-130330788,0,ea6afb5cda4c47d5b7cf0a4c2cae1bb2,net.md_5.bungee.ConnectionThrottle,net.md_5.bungee.ConnectionThrottle_ESTest,3,0,True
27,BugSwarm,BungeeCord-130330788,0,08454aeac3104c85bbd58b76f8db089f,net.md_5.bungee.ConnectionThrottle,net.md_5.bungee.ConnectionThrottle_ESTest,3,0,True
28,BugSwarm,BungeeCord-130330788,0,89952918adbb427587e38f7fd676a4f4,net.md_5.bungee.ConnectionThrottle,net.md_5.bungee.ConnectionThrottle_ESTest,5,0,True
29,BugSwarm,BungeeCord-130330788,0,4aa711e9bde34efd84159ff164698f33,net.md_5.bungee.ConnectionThrottle,net.md_5.bungee.ConnectionThrottle_ESTest,3,0,True
30,BugSwarm,BungeeCord-130330788,0,6bfa1cec343f4ad3a1102f2dbed01441,net.md_5.bungee.ConnectionThrottle,net.md_5.bungee.ConnectionThrottle_ESTest,3,0,True
31,BugSwarm,BungeeCord-130330788,0,b6668d9a798648c39abf51c2950fa07b,net.md_5.bungee.ConnectionThrottle,net.md_5.bungee.ConnectionThrottle_ESTest,3,0,True
32,BugSwarm,BungeeCord-130330788,0,dab8f333ac3e4b9da5d097e058a608ee,net.md_5.bungee.ConnectionThrottle,net.md_5.bungee.ConnectionThrottle_ESTest,3,0,True
33,BugSwarm,BungeeCord-130330788,0,fdde9ec22d294210ba93c0e61f39ca69,net.md_5.bungee.ConnectionThrottle,net.md_5.bungee.ConnectionThrottle_ESTest,3,0,True
34,BugSwarm,BungeeCord-130330788,0,85af5a63ad1b4b8b8b4af04226df731e,net.md_5.bungee.ConnectionThrottle,net.md_5.bungee.ConnectionThrottle_ESTest,3,0,True
35,BugSwarm,BungeeCord-130330788,0,a6a06009d6084c3293baf05b21ab3c6d,net.md_5.bungee.ConnectionThrottle,net.md_5.bungee.ConnectionThrottle_ESTest,5,0,True
36,Genesis,JavaPoet-aee5f128,0,e927ff4aab0f46e6a7caf2c811488673,com.squareup.javapoet.TypeName,com.squareup.javapoet.TypeName_ESTest,27,0,True
37,Genesis,Checkstyle-4f73fffd,0,b10c382e2e2542d2a1339c624767ce89,com.puppycrawl.tools.checkstyle.checks.blocks.NeedBracesCheck,com.puppycrawl.tools.checkstyle.checks.blocks.NeedBracesCheck_ESTest,47,0,True
38,Genesis,Checkstyle-4f73fffd,0,17229e4ed7a641a193b0736a4a0e6140,com.puppycrawl.tools.checkstyle.checks.blocks.NeedBracesCheck,com.puppycrawl.tools.checkstyle.checks.blocks.NeedBracesCheck_ESTest,51,0,True
39,Genesis,Checkstyle-4f73fffd,0,36488e8d117c41429bf99ebbe398e095,com.puppycrawl.tools.checkstyle.checks.blocks.NeedBracesCheck,com.puppycrawl.tools.checkstyle.checks.blocks.NeedBracesCheck_ESTest,49,0,True
40,Genesis,Checkstyle-4f73fffd,0,667d5da15b25412ab1cae28d34c53823,com.puppycrawl.tools.checkstyle.checks.blocks.NeedBracesCheck,com.puppycrawl.tools.checkstyle.checks.blocks.NeedBracesCheck_ESTest,50,0,True
41,Genesis,Checkstyle-4f73fffd,0,fd8354853ced46a7ba9eb02ea7a40137,com.puppycrawl.tools.checkstyle.checks.blocks.NeedBracesCheck,com.puppycrawl.tools.checkstyle.checks.blocks.NeedBracesCheck_ESTest,49,0,True
42,Genesis,Checkstyle-4f73fffd,0,8a4eaad9f1234805a1090a52d1056d1a,com.puppycrawl.tools.checkstyle.checks.blocks.NeedBracesCheck,com.puppycrawl.tools.checkstyle.checks.blocks.NeedBracesCheck_ESTest,50,0,True
43,Genesis,Checkstyle-4f73fffd,0,aa2b9ddbde5b4172bf4640e808a5ff65,com.puppycrawl.tools.checkstyle.checks.blocks.NeedBracesCheck,com.puppycrawl.tools.checkstyle.checks.blocks.NeedBracesCheck_ESTest,50,0,False
44,Genesis,Checkstyle-4f73fffd,0,a4fed4fbdce040f69d211dacac873f03,com.puppycrawl.tools.checkstyle.checks.blocks.NeedBracesCheck,com.puppycrawl.tools.checkstyle.checks.blocks.NeedBracesCheck_ESTest,51,0,True
45,Genesis,Checkstyle-4f73fffd,0,179dccd4d351422a9e122939ee894d9a,com.puppycrawl.tools.checkstyle.checks.blocks.NeedBracesCheck,com.puppycrawl.tools.checkstyle.checks.blocks.NeedBracesCheck_ESTest,49,0,True
