,benchmark_group,benchmark_name,npe_label,experiment_id,input_class,replayed_testsuite,compiled_tests,commented_tests,npe_reproduced
0,BugSwarm,Universal_G__Code_Sender-172454077,0,db64046378f549e4a913eb7b98d9c395,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,66,0,False
1,BugSwarm,Universal_G__Code_Sender-172454077,0,08db0179b2834a6db3e99ce476c35f3d,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,76,0,False
2,BugSwarm,Universal_G__Code_Sender-172454077,0,a913c360053a4a1cb9866bf3fea0a6aa,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,44,0,False
3,BugSwarm,Universal_G__Code_Sender-172454077,0,2f3550ff28f04ecbaaa8b025e09e9edf,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,64,0,False
4,BugSwarm,Universal_G__Code_Sender-172454077,0,e7290438c551499badf974ae51deb489,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,76,0,False
5,BugSwarm,Universal_G__Code_Sender-172454077,0,ff68571c95794bcca15d8e3556b055c6,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,75,0,False
6,BugSwarm,Universal_G__Code_Sender-172454077,0,e08a9167b2e146a4a3a2f6a457b36d95,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,71,0,False
7,BugSwarm,Universal_G__Code_Sender-172454077,0,dcd896e0d3a24e02b4d1ec463a631988,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,68,0,False
8,BugSwarm,Universal_G__Code_Sender-172454077,0,3300afa311e8411cbe72ab745f92a927,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,68,0,False
9,BugSwarm,Universal_G__Code_Sender-172454077,0,cbd9436c802a457fb5286b60fef869f1,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,69,0,False
10,BugSwarm,Universal_G__Code_Sender-172454077,0,99a4a57e6b59449798a51daf77072e59,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,75,0,False
11,BugSwarm,Universal_G__Code_Sender-172454077,0,e69ff9b635b84f72894783d9fa7db6ca,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,54,0,False
12,BugSwarm,Universal_G__Code_Sender-172454077,0,5d326568621d4d7e8ee8663d1d7bdbc2,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,62,0,False
13,BugSwarm,Universal_G__Code_Sender-172454077,0,86e36c9f2bc74af8a4b1902b9d94e634,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,76,0,False
