,benchmark_group,benchmark_name,npe_label,experiment_id,input_class,replayed_testsuite,compiled_tests,commented_tests,npe_reproduced
0,BugSwarm,Universal_G__Code_Sender-172454077,0,601c2612d9674226b2b0efe3e0649978,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,69,0,False
1,BugSwarm,Universal_G__Code_Sender-172454077,0,537e73a1c4194495a546dde2297a1cef,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,76,0,False
2,BugSwarm,Universal_G__Code_Sender-172454077,0,5df5a51ce27441108cc6eeb6e1183b64,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,80,0,False
3,BugSwarm,Universal_G__Code_Sender-172454077,0,886392c6b27e49e7956700a79731dd5a,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,78,0,False
4,BugSwarm,Universal_G__Code_Sender-172454077,0,446ba3187dd14d64850921ac3cae27ac,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,71,0,False
5,BugSwarm,Universal_G__Code_Sender-172454077,0,7feaa2c7af514209804811c4a08b94a5,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,74,0,False
6,BugSwarm,Universal_G__Code_Sender-172454077,0,5f5d00101a6948ac9a7d651f3c3a52ef,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,64,0,False
7,BugSwarm,Universal_G__Code_Sender-172454077,0,998789e6c22d4b3c98c3249966ca6d44,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,79,0,False
8,BugSwarm,Universal_G__Code_Sender-172454077,0,5910bad64bfa48dd87428a02a6c1ec57,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,69,0,False
9,BugSwarm,Universal_G__Code_Sender-172454077,0,65601baa3dce4e5ba0e1e223dcbc5688,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,71,0,False
10,BugSwarm,Universal_G__Code_Sender-172454077,1,601c2612d9674226b2b0efe3e0649978,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,69,0,False
11,BugSwarm,Universal_G__Code_Sender-172454077,1,537e73a1c4194495a546dde2297a1cef,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,76,0,False
12,BugSwarm,Universal_G__Code_Sender-172454077,1,5df5a51ce27441108cc6eeb6e1183b64,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,80,0,False
13,BugSwarm,Universal_G__Code_Sender-172454077,1,886392c6b27e49e7956700a79731dd5a,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,78,0,False
14,BugSwarm,Universal_G__Code_Sender-172454077,1,446ba3187dd14d64850921ac3cae27ac,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,71,0,False
15,BugSwarm,Universal_G__Code_Sender-172454077,1,7feaa2c7af514209804811c4a08b94a5,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,74,0,False
16,BugSwarm,Universal_G__Code_Sender-172454077,1,5f5d00101a6948ac9a7d651f3c3a52ef,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,64,0,False
17,BugSwarm,Universal_G__Code_Sender-172454077,1,998789e6c22d4b3c98c3249966ca6d44,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,79,0,False
18,BugSwarm,Universal_G__Code_Sender-172454077,1,5910bad64bfa48dd87428a02a6c1ec57,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,69,0,False
19,BugSwarm,Universal_G__Code_Sender-172454077,1,65601baa3dce4e5ba0e1e223dcbc5688,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,71,0,False
20,BugSwarm,deadcode4j-131735009,0,f16609605fb746e9b6923d3d42df6298,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,173,0,False
21,BugSwarm,deadcode4j-131735009,0,fb02830e060f4a9d81e32941f806ee11,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,175,0,False
22,BugSwarm,deadcode4j-131735009,0,b8c4b64821624c43b3f5d849231fc207,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,178,0,False
