,benchmark_group,benchmark_name,npe_label,experiment_id,input_class,replayed_testsuite,compiled_tests,commented_tests,npe_reproduced
0,BugSwarm,Universal_G__Code_Sender-172454077,0,20a6d69e2206467ea08fec4df1fe5393,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,57,0,False
1,BugSwarm,Universal_G__Code_Sender-172454077,0,d8b144430ddb4eb2ab66b5ff40c7f7bf,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,69,0,False
2,BugSwarm,Universal_G__Code_Sender-172454077,0,ba91108688a64a7793265a99c57eabfb,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,68,0,False
3,BugSwarm,Universal_G__Code_Sender-172454077,0,c85b8c0ee2fa4a38a239fd84b2d073bf,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,64,0,False
4,BugSwarm,Universal_G__Code_Sender-172454077,1,20a6d69e2206467ea08fec4df1fe5393,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,57,0,False
5,BugSwarm,Universal_G__Code_Sender-172454077,1,d8b144430ddb4eb2ab66b5ff40c7f7bf,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,69,0,False
6,BugSwarm,Universal_G__Code_Sender-172454077,1,ba91108688a64a7793265a99c57eabfb,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,68,0,False
7,BugSwarm,Universal_G__Code_Sender-172454077,1,c85b8c0ee2fa4a38a239fd84b2d073bf,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,64,0,False
8,BugSwarm,deadcode4j-131735009,0,092c331f391b4c699b692ca002afd4e3,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,151,0,False
9,BugSwarm,deadcode4j-131735009,0,ef1802be98cc4c5d98967002411b80b4,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,153,0,False
10,BugSwarm,deadcode4j-131735009,0,2cde99ba727945b59c3b12bdd26b50dc,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,170,0,False
11,BugSwarm,deadcode4j-131735009,0,0f9fe6633ae54db097279ee2a00ca4aa,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,143,0,False
12,BugSwarm,deadcode4j-131735009,0,3210c5c94e61415ba2177632d9e72c04,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,170,0,False
13,BugSwarm,Sonar_Java-295864289,0,0c80308196f64dcaa3ca849faba07aff,org.sonar.java.bytecode.se.BytecodeEGWalker,org.sonar.java.bytecode.se.BytecodeEGWalker_ESTest,143,0,False
