,benchmark_group,benchmark_name,npe_label,experiment_id,input_class,replayed_testsuite,compiled_tests,commented_tests,npe_reproduced
0,BugSwarm,Universal_G__Code_Sender-172454077,0,f958fa8dbf52438c8fe8afc1278ce25d,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,63,0,False
1,BugSwarm,Universal_G__Code_Sender-172454077,0,25f9f9a54b1643398d51bd0f304af001,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,60,0,False
2,BugSwarm,Universal_G__Code_Sender-172454077,0,9546f5f143774cc1a020bc54ce2ebc72,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,63,0,False
3,BugSwarm,Universal_G__Code_Sender-172454077,0,61383a9d2f4f4e09a58530c335581e93,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,70,0,False
4,BugSwarm,Universal_G__Code_Sender-172454077,0,84ea8135a52344f6aa6badc83f0379b1,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,65,0,False
5,BugSwarm,Universal_G__Code_Sender-172454077,0,c17276b96e65406b9110753e84f6bbad,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,66,0,False
6,BugSwarm,Universal_G__Code_Sender-172454077,0,2cd9aa0553bd4d63baf324ac39e91bb6,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,65,0,False
7,BugSwarm,Universal_G__Code_Sender-172454077,0,dc3094f090cb44b1b7deb461647049ab,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,73,0,False
8,BugSwarm,Universal_G__Code_Sender-172454077,0,97692c45da4e4f218a66a9aecd78fea3,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,65,0,False
9,BugSwarm,Universal_G__Code_Sender-172454077,0,04f1931be9e24c279d96ccefbf85b0c1,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,71,0,False
10,BugSwarm,Universal_G__Code_Sender-172454077,1,f958fa8dbf52438c8fe8afc1278ce25d,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,63,0,False
11,BugSwarm,Universal_G__Code_Sender-172454077,1,25f9f9a54b1643398d51bd0f304af001,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,60,0,False
12,BugSwarm,Universal_G__Code_Sender-172454077,1,9546f5f143774cc1a020bc54ce2ebc72,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,63,0,False
13,BugSwarm,Universal_G__Code_Sender-172454077,1,61383a9d2f4f4e09a58530c335581e93,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,70,0,False
14,BugSwarm,Universal_G__Code_Sender-172454077,1,84ea8135a52344f6aa6badc83f0379b1,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,65,0,False
15,BugSwarm,Universal_G__Code_Sender-172454077,1,c17276b96e65406b9110753e84f6bbad,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,66,0,False
16,BugSwarm,Universal_G__Code_Sender-172454077,1,2cd9aa0553bd4d63baf324ac39e91bb6,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,65,0,False
17,BugSwarm,Universal_G__Code_Sender-172454077,1,dc3094f090cb44b1b7deb461647049ab,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,73,0,False
18,BugSwarm,Universal_G__Code_Sender-172454077,1,97692c45da4e4f218a66a9aecd78fea3,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,65,0,False
19,BugSwarm,Universal_G__Code_Sender-172454077,1,04f1931be9e24c279d96ccefbf85b0c1,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,71,0,False
20,BugSwarm,deadcode4j-131735009,0,c1841869ecc04fe48f30008e85c429ce,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,133,0,False
21,BugSwarm,deadcode4j-131735009,0,e21d7c8b89d24a02b3bca4c00f5fb566,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,129,0,False
22,BugSwarm,deadcode4j-131735009,0,5b921439414a4ce390f05536af16450d,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,137,0,False
23,BugSwarm,deadcode4j-131735009,0,0894b8e740d74d97b998a3fe02d906ad,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,136,0,False
24,BugSwarm,deadcode4j-131735009,0,10098b49667d4d0788dd59d09c0004e9,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,119,0,False
25,BugSwarm,deadcode4j-131735009,0,f99d8a7e080e4520ab0cc311fffd5917,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,131,0,False
26,BugSwarm,deadcode4j-131735009,0,04d4a498f5e047e7a47924c0cc1db251,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,136,0,False
27,BugSwarm,deadcode4j-131735009,0,9aa081c9bcc34516a5311fc30a983d0a,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,121,0,False
28,BugSwarm,deadcode4j-131735009,0,e84ce2da95f048879e904bc6a51dd52d,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,117,0,False
29,BugSwarm,deadcode4j-131735009,0,799a6fce7667474d9cf390e49e24ad9b,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,132,0,False
30,BugSwarm,Sonar_Java-295864289,0,62db13f7efdf4c3a825805f59de604f2,org.sonar.java.bytecode.se.BytecodeEGWalker,org.sonar.java.bytecode.se.BytecodeEGWalker_ESTest,127,0,False
31,BugSwarm,Sonar_Java-295864289,0,7d4530effaeb4e2f99b29147d146ff5a,org.sonar.java.bytecode.se.BytecodeEGWalker,org.sonar.java.bytecode.se.BytecodeEGWalker_ESTest,176,0,False
32,BugSwarm,Sonar_Java-295864289,0,5ba1ba3008a248fe940caf4ea09d3028,org.sonar.java.bytecode.se.BytecodeEGWalker,org.sonar.java.bytecode.se.BytecodeEGWalker_ESTest,205,0,False
