,benchmark_group,benchmark_name,npe_label,experiment_id,input_class,replayed_testsuite,compiled_tests,commented_tests,npe_reproduced
0,BugSwarm,Universal_G__Code_Sender-172454077,0,8da3e6b7baf84d42b9270722d10661fd,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_NPETest_Mutant,314,9,False
1,BugSwarm,Universal_G__Code_Sender-172454077,0,8da3e6b7baf84d42b9270722d10661fd,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_NPETest_Seed,23,0,True
2,BugSwarm,Universal_G__Code_Sender-172454077,0,6e5a3aa062174646bfcb795d97e557d9,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_NPETest_Mutant,353,9,True
3,BugSwarm,Universal_G__Code_Sender-172454077,0,6e5a3aa062174646bfcb795d97e557d9,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_NPETest_Seed,22,0,False
4,BugSwarm,Universal_G__Code_Sender-172454077,0,aa0e567292934f928b31d103aff17097,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_NPETest_Mutant,332,10,False
5,BugSwarm,Universal_G__Code_Sender-172454077,0,aa0e567292934f928b31d103aff17097,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_NPETest_Seed,21,0,True
6,BugSwarm,Universal_G__Code_Sender-172454077,0,c68cbcd71d9a416b8fead306863acce1,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_NPETest_Mutant,197,4,False
7,BugSwarm,Universal_G__Code_Sender-172454077,0,c68cbcd71d9a416b8fead306863acce1,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_NPETest_Seed,23,0,True
8,BugSwarm,Universal_G__Code_Sender-172454077,0,dabb0ad237534351b71bb8feeb30feb2,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_NPETest_Mutant,230,9,True
9,BugSwarm,Universal_G__Code_Sender-172454077,0,dabb0ad237534351b71bb8feeb30feb2,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_NPETest_Seed,21,0,False
10,BugSwarm,Universal_G__Code_Sender-172454077,0,552a153791164dc4b3a9a9df3e3b8bb8,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_NPETest_Mutant,416,8,False
11,BugSwarm,Universal_G__Code_Sender-172454077,0,552a153791164dc4b3a9a9df3e3b8bb8,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_NPETest_Seed,27,0,True
12,BugSwarm,Universal_G__Code_Sender-172454077,0,39803e6f36364762976026826ec786a1,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_NPETest_Mutant,308,6,False
