,benchmark_group,benchmark_name,npe_label,experiment_id,input_class,replayed_testsuite,compiled_tests,commented_tests,npe_reproduced
0,BugSwarm,Universal_G__Code_Sender-172454077,0,901d3311188243bab798beae8aaeb492,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_NPETest_Mutant,572,13,False
1,BugSwarm,Universal_G__Code_Sender-172454077,0,901d3311188243bab798beae8aaeb492,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_NPETest_Seed,29,0,True
2,BugSwarm,Universal_G__Code_Sender-172454077,0,b88f648fde574a97beab8237bb6f1291,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_NPETest_Mutant,602,13,False
3,BugSwarm,Universal_G__Code_Sender-172454077,0,b88f648fde574a97beab8237bb6f1291,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_NPETest_Seed,28,0,True
4,BugSwarm,Universal_G__Code_Sender-172454077,0,66f93e97fa0e4b02a9f5894f33e5d638,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_NPETest_Mutant,579,10,True
5,BugSwarm,Universal_G__Code_Sender-172454077,0,66f93e97fa0e4b02a9f5894f33e5d638,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_NPETest_Seed,24,0,False
6,BugSwarm,Universal_G__Code_Sender-172454077,0,b7d169b475fc481998c536ae0e786ba9,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_NPETest_Mutant,753,13,True
7,BugSwarm,Universal_G__Code_Sender-172454077,0,b7d169b475fc481998c536ae0e786ba9,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_NPETest_Seed,28,0,False
8,BugSwarm,Universal_G__Code_Sender-172454077,0,5e3b6ec8e8a84444939c0a7536f620b0,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_NPETest_Mutant,674,23,False
9,BugSwarm,Universal_G__Code_Sender-172454077,0,5e3b6ec8e8a84444939c0a7536f620b0,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_NPETest_Seed,27,0,True
10,BugSwarm,Universal_G__Code_Sender-172454077,0,b64e675f76654950816eb8974f21d4f8,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_NPETest_Mutant,621,19,True
11,BugSwarm,Universal_G__Code_Sender-172454077,0,b64e675f76654950816eb8974f21d4f8,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_NPETest_Seed,25,0,False
12,BugSwarm,Universal_G__Code_Sender-172454077,0,e0dbd0337f464541a3cb0d1a2aca80ef,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_NPETest_Mutant,649,16,True
13,BugSwarm,Universal_G__Code_Sender-172454077,0,e0dbd0337f464541a3cb0d1a2aca80ef,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_NPETest_Seed,25,0,False
14,BugSwarm,Universal_G__Code_Sender-172454077,0,761c14dafa684f3b9a6a2072bcc0ceb5,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_NPETest_Mutant,562,10,False
15,BugSwarm,Universal_G__Code_Sender-172454077,0,761c14dafa684f3b9a6a2072bcc0ceb5,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_NPETest_Seed,30,0,True
16,BugSwarm,Universal_G__Code_Sender-172454077,0,a4667ae337d44a98aad1f37e59711ae5,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_NPETest_Mutant,623,13,False
17,BugSwarm,Universal_G__Code_Sender-172454077,0,a4667ae337d44a98aad1f37e59711ae5,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_NPETest_Seed,27,0,True
18,BugSwarm,Universal_G__Code_Sender-172454077,0,e27c00291a974cdebf934a03b3205553,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_NPETest_Mutant,655,10,False
19,BugSwarm,Universal_G__Code_Sender-172454077,0,e27c00291a974cdebf934a03b3205553,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_NPETest_Seed,27,0,True
20,BugSwarm,Universal_G__Code_Sender-172454077,0,f1f4990264134b2baa7993d1b32a498c,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_NPETest_Mutant,531,6,False
21,BugSwarm,Universal_G__Code_Sender-172454077,0,f1f4990264134b2baa7993d1b32a498c,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_NPETest_Seed,27,0,True
22,BugSwarm,Universal_G__Code_Sender-172454077,0,060abbbf03b645b49757f6bbb2cb2698,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_NPETest_Mutant,511,12,False
23,BugSwarm,Universal_G__Code_Sender-172454077,0,060abbbf03b645b49757f6bbb2cb2698,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_NPETest_Seed,30,0,True
24,BugSwarm,Universal_G__Code_Sender-172454077,0,ab92629290ec4778b28bf44d523aaa84,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_NPETest_Mutant,814,18,False
25,BugSwarm,Universal_G__Code_Sender-172454077,0,ab92629290ec4778b28bf44d523aaa84,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_NPETest_Seed,27,0,True
