,benchmark_group,benchmark_name,npe_label,experiment_id,input_class,replayed_testsuite,compiled_tests,commented_tests,npe_reproduced
0,BugSwarm,Universal_G__Code_Sender-172454077,0,dd3c381a6638415197e4d9c63f01ea22,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,308,0,True
1,BugSwarm,Universal_G__Code_Sender-172454077,0,e48ad68c4a094bde8b749dad71df7121,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,326,0,True
2,BugSwarm,Universal_G__Code_Sender-172454077,1,dd3c381a6638415197e4d9c63f01ea22,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,308,0,True
3,BugSwarm,Universal_G__Code_Sender-172454077,1,e48ad68c4a094bde8b749dad71df7121,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,326,0,True
4,BugSwarm,Petergeneric__Stdlib-290369132,0,20777f86a7e74a19b17f4bbfaf7d6ff3,com.peterphi.std.guice.hibernate.webquery.impl.jpa.JPASearchExecutor,com.peterphi.std.guice.hibernate.webquery.impl.jpa.JPASearchExecutor_ESTest,292,0,True
5,BugSwarm,Petergeneric__Stdlib-290369132,0,1c3116ddbaad469598ff063d76b64d9f,com.peterphi.std.guice.hibernate.webquery.impl.jpa.JPASearchExecutor,com.peterphi.std.guice.hibernate.webquery.impl.jpa.JPASearchExecutor_ESTest,292,0,True
6,BugSwarm,Atomix-298262068,0,5ac68f7f2afa405fb96196654103d17a,io.atomix.primitives.leadership.impl.RaftLeaderElectorService,io.atomix.primitives.leadership.impl.RaftLeaderElectorService_ESTest,544,0,False
7,BugSwarm,Atomix-298262068,0,6b729d8ece8c4a168360b6cbbabeb9b2,io.atomix.primitives.leadership.impl.RaftLeaderElectorService,io.atomix.primitives.leadership.impl.RaftLeaderElectorService_ESTest,542,0,False
8,BugSwarm,Atomix-298262068,0,4770f5e419094682b843af20620b583d,io.atomix.primitives.leadership.impl.RaftLeaderElectorService,io.atomix.primitives.leadership.impl.RaftLeaderElectorService_ESTest,457,0,False
9,BugSwarm,nFlow-197273853,0,9962bfbe9e35481fb36d2e6ce6f46a88,io.nflow.engine.internal.dao.WorkflowInstanceDao,io.nflow.engine.internal.dao.WorkflowInstanceDao_ESTest,256,0,False
10,BugSwarm,nFlow-197273853,0,f1b06d7c768a4e4eaaff6e42158cd6fc,io.nflow.engine.internal.dao.WorkflowInstanceDao,io.nflow.engine.internal.dao.WorkflowInstanceDao_ESTest,283,0,False
11,BugSwarm,Jannovar-249719464,0,900a0d35f6fc48909ea5f3f958628afd,de.charite.compbio.jannovar.cmd.annotate_vcf.JannovarAnnotateVCFOptions,de.charite.compbio.jannovar.cmd.annotate_vcf.JannovarAnnotateVCFOptions_ESTest,104,0,False
12,BugSwarm,ACS_AEM_Commons-461893214,0,2875d3c661764a8fa7056b4e3f88b7b4,com.adobe.acs.commons.mcp.impl.processes.asset.FileAssetIngestor,com.adobe.acs.commons.mcp.impl.processes.asset.FileAssetIngestor_ESTest,204,0,False
