,benchmark_group,benchmark_name,npe_label,experiment_id,input_class,replayed_testsuite,compiled_tests,commented_tests,npe_reproduced
0,BugSwarm,Universal_G__Code_Sender-172454077,0,3d283442e56d4b07baaeeb9897385a1c,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,373,0,True
1,BugSwarm,Universal_G__Code_Sender-172454077,1,3d283442e56d4b07baaeeb9897385a1c,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,373,0,True
2,BugSwarm,Atomix-298262068,0,da02268385df44a88278e6b93887b339,io.atomix.primitives.leadership.impl.RaftLeaderElectorService,io.atomix.primitives.leadership.impl.RaftLeaderElectorService_ESTest,473,0,False
3,BugSwarm,Jannovar-249719464,0,5cf2e1af771e4b9db63d19baeac599ad,de.charite.compbio.jannovar.cmd.annotate_vcf.JannovarAnnotateVCFOptions,de.charite.compbio.jannovar.cmd.annotate_vcf.JannovarAnnotateVCFOptions_ESTest,133,0,False
4,BugSwarm,ACS_AEM_Commons-461893214,0,ea71e74022e1403eb582dfe5ca8c2315,com.adobe.acs.commons.mcp.impl.processes.asset.FileAssetIngestor,com.adobe.acs.commons.mcp.impl.processes.asset.FileAssetIngestor_ESTest,241,0,False
5,BugSwarm,ACS_AEM_Commons-461893214,1,ea71e74022e1403eb582dfe5ca8c2315,com.adobe.acs.commons.mcp.impl.processes.asset.FileAssetIngestor,com.adobe.acs.commons.mcp.impl.processes.asset.FileAssetIngestor_ESTest,241,0,False
6,BugSwarm,Byte_Buddy-95795967,0,ab4f00e6d17840dea0ba10c2b8c26728,net.bytebuddy.dynamic.ClassFileLocator,net.bytebuddy.dynamic.ClassFileLocator_ESTest,325,0,False
7,BugSwarm,Byte_Buddy-95795967,0,e7362f2ba7b74afba06c9fab1d608226,net.bytebuddy.dynamic.ClassFileLocator,net.bytebuddy.dynamic.ClassFileLocator_ESTest,248,0,True
8,BugSwarm,OkHttp-93618854,0,32b4a96b05b84e26af3b93be17f6fbeb,com.squareup.okhttp.internal.http.StreamAllocation,com.squareup.okhttp.internal.http.StreamAllocation_ESTest,513,0,True
9,BugSwarm,OkHttp-93618854,1,32b4a96b05b84e26af3b93be17f6fbeb,com.squareup.okhttp.internal.http.StreamAllocation,com.squareup.okhttp.internal.http.StreamAllocation_ESTest,513,0,True
