,benchmark_group,benchmark_name,npe_label,experiment_id,input_class,replayed_testsuite,compiled_tests,commented_tests,npe_reproduced
0,BugSwarm,Universal_G__Code_Sender-172454077,0,304fe256da6d4304aefb628925ffada9,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,348,0,True
1,BugSwarm,Universal_G__Code_Sender-172454077,0,f6d219d1a7704192ac7d6d004b980b1c,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,390,0,True
2,BugSwarm,Universal_G__Code_Sender-172454077,0,ccd53386b564447aa1e5a64dc5fd9742,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,330,0,True
3,BugSwarm,Universal_G__Code_Sender-172454077,0,764f990a57e742b38150c26d5ceaed86,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,336,0,True
4,BugSwarm,Universal_G__Code_Sender-172454077,0,8ae89b463970427bbb36d2b1f2adf206,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,366,0,True
5,BugSwarm,Universal_G__Code_Sender-172454077,0,b297d1c429424740a355b318013aeef3,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,350,0,True
6,BugSwarm,Universal_G__Code_Sender-172454077,0,87a11e0b16594f44a2aac515b939944e,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,324,0,True
7,BugSwarm,Universal_G__Code_Sender-172454077,0,e29d3f88ab95425889ed1c0c9f299908,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,313,0,True
8,BugSwarm,Universal_G__Code_Sender-172454077,0,7d7b573d66084f249036753c7722b563,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,337,0,False
9,BugSwarm,Universal_G__Code_Sender-172454077,0,280cf545e38845bbb58d9592ab74db24,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,363,0,True
10,BugSwarm,Universal_G__Code_Sender-172454077,0,8b46e26490924beba5f3285bec2c5af4,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,365,0,True
