,benchmark_group,benchmark_name,npe_label,experiment_id,input_class,replayed_testsuite,compiled_tests,commented_tests,npe_reproduced
0,BugSwarm,Universal_G__Code_Sender-172454077,0,ada89c3006574274a57671f852963268,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,12,0,False
1,BugSwarm,Universal_G__Code_Sender-172454077,0,df0d09c23f09481fbdcfdc12e98059a8,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,13,0,False
2,BugSwarm,Universal_G__Code_Sender-172454077,0,6a17b63d44df46078908bbef7efaea65,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,10,0,False
3,BugSwarm,Universal_G__Code_Sender-172454077,0,9ac56143be9a4cc3b4dd6a51c3f72678,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,12,0,False
4,BugSwarm,Universal_G__Code_Sender-172454077,0,63803c1aef084ad586a760648e5ccd6d,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,14,0,False
5,BugSwarm,Universal_G__Code_Sender-172454077,0,c60067a1b9c4418faf2759bdeed03eeb,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,12,0,False
6,BugSwarm,Universal_G__Code_Sender-172454077,0,572572cc91e5413f874b43001e7845e3,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,11,0,False
7,BugSwarm,Universal_G__Code_Sender-172454077,0,974844faeb0f48649e81bb78e5573ba2,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,10,0,False
8,BugSwarm,Universal_G__Code_Sender-172454077,0,89c601f0c61c4fd9a20bde5693472d4f,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,15,0,False
9,BugSwarm,Universal_G__Code_Sender-172454077,0,33732350212c4fb98abe80ee980ebcbe,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,11,0,False
10,BugSwarm,Universal_G__Code_Sender-172454077,1,ada89c3006574274a57671f852963268,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,12,0,False
11,BugSwarm,Universal_G__Code_Sender-172454077,1,df0d09c23f09481fbdcfdc12e98059a8,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,13,0,False
12,BugSwarm,Universal_G__Code_Sender-172454077,1,6a17b63d44df46078908bbef7efaea65,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,10,0,False
13,BugSwarm,Universal_G__Code_Sender-172454077,1,9ac56143be9a4cc3b4dd6a51c3f72678,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,12,0,False
14,BugSwarm,Universal_G__Code_Sender-172454077,1,63803c1aef084ad586a760648e5ccd6d,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,14,0,False
15,BugSwarm,Universal_G__Code_Sender-172454077,1,c60067a1b9c4418faf2759bdeed03eeb,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,12,0,False
16,BugSwarm,Universal_G__Code_Sender-172454077,1,572572cc91e5413f874b43001e7845e3,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,11,0,False
17,BugSwarm,Universal_G__Code_Sender-172454077,1,974844faeb0f48649e81bb78e5573ba2,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,10,0,False
18,BugSwarm,Universal_G__Code_Sender-172454077,1,89c601f0c61c4fd9a20bde5693472d4f,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,15,0,False
19,BugSwarm,Universal_G__Code_Sender-172454077,1,33732350212c4fb98abe80ee980ebcbe,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,11,0,False
20,BugSwarm,deadcode4j-131735009,0,3412e5a6470f436d87a3a5fe5a739dbd,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,14,0,False
21,BugSwarm,deadcode4j-131735009,0,6671eef3cea544b18e0a0be40d16c814,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,3,0,False
22,BugSwarm,deadcode4j-131735009,0,8d410c3dc1dd4d9da03906f816cc893c,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,11,0,False
23,BugSwarm,deadcode4j-131735009,0,99433f365ee444629d0539cfbee46a1b,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,9,0,False
24,BugSwarm,deadcode4j-131735009,0,8c02299622cc4d8bb71152564bb35623,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,9,0,False
25,BugSwarm,deadcode4j-131735009,0,3edbbfb883774fbbadb3f2a15b57df06,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,10,0,False
26,BugSwarm,deadcode4j-131735009,0,24524ad91a2941b2bf6fe9d9857eaa0b,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,11,0,False
27,BugSwarm,deadcode4j-131735009,0,fdd75139050b48b6879c46b0536a0e55,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,4,0,False
28,BugSwarm,deadcode4j-131735009,0,ea0a9b422ff741ba804b5a6b2674e040,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,14,0,False
29,BugSwarm,deadcode4j-131735009,0,25ffa367b2ce40d8a48802ba4ee8c2e1,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,11,0,False
30,BugSwarm,Sonar_Java-295864289,0,e9ea80af2f6a43cabb3feb7a14a8a883,org.sonar.java.bytecode.se.BytecodeEGWalker,org.sonar.java.bytecode.se.BytecodeEGWalker_ESTest,17,0,False
