,benchmark_group,benchmark_name,npe_label,experiment_id,input_class,replayed_testsuite,compiled_tests,commented_tests,npe_reproduced
0,BugSwarm,Universal_G__Code_Sender-172454077,0,45aa78cdbd294a0c975e6bea87e5f26e,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,14,0,False
1,BugSwarm,Universal_G__Code_Sender-172454077,0,bb4c9d50325445a9b45a89dd68b21475,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,11,0,False
2,BugSwarm,Universal_G__Code_Sender-172454077,0,13caf94330cf435b99dd81d94ca82307,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,13,0,False
3,BugSwarm,Universal_G__Code_Sender-172454077,0,bc411f2df6fb4b1bbd04635c29932e52,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,15,0,False
4,BugSwarm,Universal_G__Code_Sender-172454077,0,652750ef871d4579951c6792068c98df,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,11,0,False
5,BugSwarm,Universal_G__Code_Sender-172454077,1,45aa78cdbd294a0c975e6bea87e5f26e,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,14,0,False
6,BugSwarm,Universal_G__Code_Sender-172454077,1,bb4c9d50325445a9b45a89dd68b21475,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,11,0,False
7,BugSwarm,Universal_G__Code_Sender-172454077,1,13caf94330cf435b99dd81d94ca82307,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,13,0,False
8,BugSwarm,Universal_G__Code_Sender-172454077,1,bc411f2df6fb4b1bbd04635c29932e52,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,15,0,False
9,BugSwarm,Universal_G__Code_Sender-172454077,1,652750ef871d4579951c6792068c98df,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,11,0,False
10,BugSwarm,deadcode4j-131735009,0,db67aef06f6543c28bf52a0550a73aea,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,12,0,False
11,BugSwarm,deadcode4j-131735009,0,d13be704f04b414983e298e3627d60d3,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,9,0,False
12,BugSwarm,deadcode4j-131735009,0,548c328d0841481faec25d4fd14e9235,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,6,0,False
13,BugSwarm,deadcode4j-131735009,0,ed6d81816c9e45f9bbe23b1f814b5b45,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,9,0,False
14,BugSwarm,deadcode4j-131735009,0,9ecbc393fd62454d8fcabae78db4d16a,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,10,0,False
15,BugSwarm,Sonar_Java-295864289,0,d3dd95b9a3e04f6c8793830b7b6293bd,org.sonar.java.bytecode.se.BytecodeEGWalker,org.sonar.java.bytecode.se.BytecodeEGWalker_ESTest,9,0,False
