,benchmark_group,benchmark_name,npe_label,experiment_id,input_class,replayed_testsuite,compiled_tests,commented_tests,npe_reproduced
0,BugSwarm,Universal_G__Code_Sender-172454077,0,2624ee7c04d14cf0a6dbe588227f021e,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,38,0,False
1,BugSwarm,Universal_G__Code_Sender-172454077,0,7dfe2266f5b84af983d2ddc2a6269ff2,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,31,0,False
2,BugSwarm,Universal_G__Code_Sender-172454077,0,824ec92682ab484e95c87815d0f4d806,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,33,0,False
3,BugSwarm,Universal_G__Code_Sender-172454077,0,e90b9cc13f2346cbb6905dd726f233a4,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,38,0,False
4,BugSwarm,Universal_G__Code_Sender-172454077,0,0310ff66598d407dbb4c688f63a9da2c,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,36,0,False
5,BugSwarm,Universal_G__Code_Sender-172454077,0,20cb539ba30a443e8e0b83860e17be4e,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,34,0,False
6,BugSwarm,Universal_G__Code_Sender-172454077,0,0ce71c5285d64f3d94617f39d2169dd6,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,35,0,False
7,BugSwarm,Universal_G__Code_Sender-172454077,0,9deae9a5f23c40d2b3f60714794f282e,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,39,0,False
8,BugSwarm,Universal_G__Code_Sender-172454077,0,e9cae66edab7426cb8600bda5b48a4ba,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,34,0,False
9,BugSwarm,Universal_G__Code_Sender-172454077,0,b621d4571ecc4604829d7f3a4f7f3bf2,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,37,0,False
10,BugSwarm,Universal_G__Code_Sender-172454077,1,2624ee7c04d14cf0a6dbe588227f021e,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,38,0,False
11,BugSwarm,Universal_G__Code_Sender-172454077,1,7dfe2266f5b84af983d2ddc2a6269ff2,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,31,0,False
12,BugSwarm,Universal_G__Code_Sender-172454077,1,824ec92682ab484e95c87815d0f4d806,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,33,0,False
13,BugSwarm,Universal_G__Code_Sender-172454077,1,e90b9cc13f2346cbb6905dd726f233a4,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,38,0,False
14,BugSwarm,Universal_G__Code_Sender-172454077,1,0310ff66598d407dbb4c688f63a9da2c,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,36,0,False
15,BugSwarm,Universal_G__Code_Sender-172454077,1,20cb539ba30a443e8e0b83860e17be4e,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,34,0,False
16,BugSwarm,Universal_G__Code_Sender-172454077,1,0ce71c5285d64f3d94617f39d2169dd6,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,35,0,False
17,BugSwarm,Universal_G__Code_Sender-172454077,1,9deae9a5f23c40d2b3f60714794f282e,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,39,0,False
18,BugSwarm,Universal_G__Code_Sender-172454077,1,e9cae66edab7426cb8600bda5b48a4ba,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,34,0,False
19,BugSwarm,Universal_G__Code_Sender-172454077,1,b621d4571ecc4604829d7f3a4f7f3bf2,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ESTest,37,0,False
20,BugSwarm,deadcode4j-131735009,0,1e53b3c85d794ae38f379d70376dfe45,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,57,0,False
21,BugSwarm,deadcode4j-131735009,0,5f368dce5881436fa72135b30662fdf3,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,3,0,False
22,BugSwarm,deadcode4j-131735009,0,dc2077fd68634c3aa8402fb4d1d2c4a2,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,2,0,False
23,BugSwarm,deadcode4j-131735009,0,978841f114ce4190b9c2e11fbc724053,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,39,0,False
24,BugSwarm,deadcode4j-131735009,0,5cc2819d3b14448bb29ca1dbdf6e1af7,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,46,0,False
25,BugSwarm,deadcode4j-131735009,0,5e53885df1904180bc60d7aab09354ea,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,28,0,False
26,BugSwarm,deadcode4j-131735009,0,a3e85e5c8d30436fac64f6f40128cb22,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,26,0,False
27,BugSwarm,deadcode4j-131735009,0,5f96483dcc704786b899bb4f614e18ea,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,47,0,False
28,BugSwarm,deadcode4j-131735009,0,ee9202266e6448c685398336c0f84945,org.sbolstandard.core2.ComponentDefinition,org.sbolstandard.core2.ComponentDefinition_ESTest,26,0,False
