,benchmark_group,benchmark_name,npe_label,experiment_id,input_class,replayed_testsuite,compiled_tests,commented_tests,npe_reproduced
0,BugSwarm,Universal_G__Code_Sender-172454077,0,2a83c4ecfb81471dbb90bbedf89dd2ab,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ErrorTest2,500,0,True
1,BugSwarm,Universal_G__Code_Sender-172454077,0,2a83c4ecfb81471dbb90bbedf89dd2ab,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ErrorTest0,500,0,True
2,BugSwarm,Universal_G__Code_Sender-172454077,0,2a83c4ecfb81471dbb90bbedf89dd2ab,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_RegressionTest10,500,0,False
3,BugSwarm,Universal_G__Code_Sender-172454077,0,2a83c4ecfb81471dbb90bbedf89dd2ab,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_RegressionTest6,500,0,False
4,BugSwarm,Universal_G__Code_Sender-172454077,0,2a83c4ecfb81471dbb90bbedf89dd2ab,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_RegressionTest4,500,0,False
5,BugSwarm,Universal_G__Code_Sender-172454077,0,2a83c4ecfb81471dbb90bbedf89dd2ab,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ErrorTest4,500,0,True
6,BugSwarm,Universal_G__Code_Sender-172454077,0,2a83c4ecfb81471dbb90bbedf89dd2ab,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_RegressionTest2,500,0,False
7,BugSwarm,Universal_G__Code_Sender-172454077,0,2a83c4ecfb81471dbb90bbedf89dd2ab,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ErrorTest1,500,0,True
8,BugSwarm,Universal_G__Code_Sender-172454077,0,2a83c4ecfb81471dbb90bbedf89dd2ab,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ErrorTest3,500,0,True
9,BugSwarm,Universal_G__Code_Sender-172454077,0,2a83c4ecfb81471dbb90bbedf89dd2ab,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_RegressionTest14,500,0,False
10,BugSwarm,Universal_G__Code_Sender-172454077,0,2a83c4ecfb81471dbb90bbedf89dd2ab,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ErrorTest5,500,0,True
11,BugSwarm,Universal_G__Code_Sender-172454077,0,2a83c4ecfb81471dbb90bbedf89dd2ab,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_RegressionTest8,500,0,False
12,BugSwarm,Universal_G__Code_Sender-172454077,0,2a83c4ecfb81471dbb90bbedf89dd2ab,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ErrorTest6,280,0,True
13,BugSwarm,Universal_G__Code_Sender-172454077,0,2a83c4ecfb81471dbb90bbedf89dd2ab,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_RegressionTest1,500,0,False
