,benchmark_group,benchmark_name,npe_label,experiment_id,input_class,replayed_testsuite,compiled_tests,commented_tests,npe_reproduced
0,BugSwarm,Universal_G__Code_Sender-172454077,0,3947b0ccb94d40248ccab9b83100d4b0,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ErrorTest2,56,0,True
1,BugSwarm,Universal_G__Code_Sender-172454077,0,3947b0ccb94d40248ccab9b83100d4b0,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ErrorTest0,500,0,True
2,BugSwarm,Universal_G__Code_Sender-172454077,0,3947b0ccb94d40248ccab9b83100d4b0,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_RegressionTest4,480,0,False
3,BugSwarm,Universal_G__Code_Sender-172454077,0,3947b0ccb94d40248ccab9b83100d4b0,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_RegressionTest2,500,0,False
4,BugSwarm,Universal_G__Code_Sender-172454077,0,3947b0ccb94d40248ccab9b83100d4b0,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ErrorTest1,500,0,True
5,BugSwarm,Universal_G__Code_Sender-172454077,0,3947b0ccb94d40248ccab9b83100d4b0,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_RegressionTest1,500,0,False
6,BugSwarm,Universal_G__Code_Sender-172454077,0,3947b0ccb94d40248ccab9b83100d4b0,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_RegressionTest0,500,0,False
7,BugSwarm,Universal_G__Code_Sender-172454077,0,3947b0ccb94d40248ccab9b83100d4b0,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_RegressionTest3,500,0,False
8,BugSwarm,Universal_G__Code_Sender-172454077,0,a35c8952bf8d4ac98b55b3438f39df1f,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ErrorTest0,500,0,True
9,BugSwarm,Universal_G__Code_Sender-172454077,0,a35c8952bf8d4ac98b55b3438f39df1f,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_RegressionTest4,167,0,False
10,BugSwarm,Universal_G__Code_Sender-172454077,0,a35c8952bf8d4ac98b55b3438f39df1f,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_RegressionTest2,500,0,False
11,BugSwarm,Universal_G__Code_Sender-172454077,0,a35c8952bf8d4ac98b55b3438f39df1f,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ErrorTest1,413,0,True
12,BugSwarm,Universal_G__Code_Sender-172454077,0,a35c8952bf8d4ac98b55b3438f39df1f,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_RegressionTest1,500,0,False
13,BugSwarm,Universal_G__Code_Sender-172454077,0,a35c8952bf8d4ac98b55b3438f39df1f,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_RegressionTest0,500,0,False
14,BugSwarm,Universal_G__Code_Sender-172454077,0,a35c8952bf8d4ac98b55b3438f39df1f,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_RegressionTest3,500,0,False
15,BugSwarm,Universal_G__Code_Sender-172454077,0,d0b7b92dce544766ad3156bc245234e5,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ErrorTest2,55,0,True
16,BugSwarm,Universal_G__Code_Sender-172454077,0,d0b7b92dce544766ad3156bc245234e5,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ErrorTest0,500,0,True
17,BugSwarm,Universal_G__Code_Sender-172454077,0,d0b7b92dce544766ad3156bc245234e5,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_RegressionTest4,469,0,False
18,BugSwarm,Universal_G__Code_Sender-172454077,0,d0b7b92dce544766ad3156bc245234e5,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_RegressionTest2,500,0,False
19,BugSwarm,Universal_G__Code_Sender-172454077,0,d0b7b92dce544766ad3156bc245234e5,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ErrorTest1,500,0,True
20,BugSwarm,Universal_G__Code_Sender-172454077,0,d0b7b92dce544766ad3156bc245234e5,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_RegressionTest1,500,0,False
