,benchmark_group,benchmark_name,npe_label,experiment_id,input_class,replayed_testsuite,compiled_tests,commented_tests,npe_reproduced
0,BugSwarm,Universal_G__Code_Sender-172454077,0,d8b28f5d18074b5bae6592c8c0d95d27,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ErrorTest2,500,0,True
1,BugSwarm,Universal_G__Code_Sender-172454077,0,d8b28f5d18074b5bae6592c8c0d95d27,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ErrorTest0,500,0,True
2,BugSwarm,Universal_G__Code_Sender-172454077,0,d8b28f5d18074b5bae6592c8c0d95d27,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_RegressionTest10,500,0,False
3,BugSwarm,Universal_G__Code_Sender-172454077,0,d8b28f5d18074b5bae6592c8c0d95d27,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_RegressionTest6,500,0,False
4,BugSwarm,Universal_G__Code_Sender-172454077,0,d8b28f5d18074b5bae6592c8c0d95d27,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ErrorTest10,500,0,True
5,BugSwarm,Universal_G__Code_Sender-172454077,0,d8b28f5d18074b5bae6592c8c0d95d27,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_RegressionTest20,500,0,False
6,BugSwarm,Universal_G__Code_Sender-172454077,0,d8b28f5d18074b5bae6592c8c0d95d27,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_RegressionTest4,500,0,False
7,BugSwarm,Universal_G__Code_Sender-172454077,0,d8b28f5d18074b5bae6592c8c0d95d27,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_RegressionTest21,500,0,False
8,BugSwarm,Universal_G__Code_Sender-172454077,0,d8b28f5d18074b5bae6592c8c0d95d27,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ErrorTest4,500,0,True
9,BugSwarm,Universal_G__Code_Sender-172454077,0,d8b28f5d18074b5bae6592c8c0d95d27,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_RegressionTest2,500,0,False
10,BugSwarm,Universal_G__Code_Sender-172454077,0,d8b28f5d18074b5bae6592c8c0d95d27,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ErrorTest1,500,0,True
11,BugSwarm,Universal_G__Code_Sender-172454077,0,d8b28f5d18074b5bae6592c8c0d95d27,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_RegressionTest16,500,0,False
12,BugSwarm,Universal_G__Code_Sender-172454077,0,d8b28f5d18074b5bae6592c8c0d95d27,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ErrorTest7,500,0,True
13,BugSwarm,Universal_G__Code_Sender-172454077,0,d8b28f5d18074b5bae6592c8c0d95d27,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ErrorTest3,500,0,True
14,BugSwarm,Universal_G__Code_Sender-172454077,0,d8b28f5d18074b5bae6592c8c0d95d27,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_RegressionTest17,500,0,False
15,BugSwarm,Universal_G__Code_Sender-172454077,0,d8b28f5d18074b5bae6592c8c0d95d27,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_RegressionTest25,500,0,False
16,BugSwarm,Universal_G__Code_Sender-172454077,0,d8b28f5d18074b5bae6592c8c0d95d27,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_RegressionTest14,500,0,False
17,BugSwarm,Universal_G__Code_Sender-172454077,0,d8b28f5d18074b5bae6592c8c0d95d27,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ErrorTest5,500,0,True
18,BugSwarm,Universal_G__Code_Sender-172454077,0,d8b28f5d18074b5bae6592c8c0d95d27,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ErrorTest11,35,0,True
19,BugSwarm,Universal_G__Code_Sender-172454077,0,d8b28f5d18074b5bae6592c8c0d95d27,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_RegressionTest18,500,0,False
20,BugSwarm,Universal_G__Code_Sender-172454077,0,d8b28f5d18074b5bae6592c8c0d95d27,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_RegressionTest8,500,0,False
21,BugSwarm,Universal_G__Code_Sender-172454077,0,d8b28f5d18074b5bae6592c8c0d95d27,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_RegressionTest19,500,0,False
22,BugSwarm,Universal_G__Code_Sender-172454077,0,d8b28f5d18074b5bae6592c8c0d95d27,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ErrorTest6,500,0,True
23,BugSwarm,Universal_G__Code_Sender-172454077,0,d8b28f5d18074b5bae6592c8c0d95d27,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_RegressionTest1,500,0,False
24,BugSwarm,Universal_G__Code_Sender-172454077,0,d8b28f5d18074b5bae6592c8c0d95d27,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_RegressionTest5,500,0,False
25,BugSwarm,Universal_G__Code_Sender-172454077,0,d8b28f5d18074b5bae6592c8c0d95d27,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_RegressionTest26,182,0,False
26,BugSwarm,Universal_G__Code_Sender-172454077,0,d8b28f5d18074b5bae6592c8c0d95d27,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ErrorTest8,500,0,True
27,BugSwarm,Universal_G__Code_Sender-172454077,0,d8b28f5d18074b5bae6592c8c0d95d27,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_RegressionTest12,500,0,False
28,BugSwarm,Universal_G__Code_Sender-172454077,0,d8b28f5d18074b5bae6592c8c0d95d27,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_RegressionTest15,500,0,False
29,BugSwarm,Universal_G__Code_Sender-172454077,0,d8b28f5d18074b5bae6592c8c0d95d27,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_RegressionTest22,500,0,False
30,BugSwarm,Universal_G__Code_Sender-172454077,0,d8b28f5d18074b5bae6592c8c0d95d27,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_RegressionTest23,500,0,False
31,BugSwarm,Universal_G__Code_Sender-172454077,0,d8b28f5d18074b5bae6592c8c0d95d27,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_RegressionTest0,500,0,False
32,BugSwarm,Universal_G__Code_Sender-172454077,0,d8b28f5d18074b5bae6592c8c0d95d27,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_RegressionTest13,500,0,False
33,BugSwarm,Universal_G__Code_Sender-172454077,0,d8b28f5d18074b5bae6592c8c0d95d27,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_RegressionTest7,500,0,False
34,BugSwarm,Universal_G__Code_Sender-172454077,0,d8b28f5d18074b5bae6592c8c0d95d27,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ErrorTest9,500,0,True
35,BugSwarm,Universal_G__Code_Sender-172454077,0,d8b28f5d18074b5bae6592c8c0d95d27,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_RegressionTest24,500,0,False
36,BugSwarm,Universal_G__Code_Sender-172454077,0,d8b28f5d18074b5bae6592c8c0d95d27,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_RegressionTest3,500,0,False
37,BugSwarm,Universal_G__Code_Sender-172454077,0,d8b28f5d18074b5bae6592c8c0d95d27,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_RegressionTest11,500,0,False
38,BugSwarm,Universal_G__Code_Sender-172454077,0,d8b28f5d18074b5bae6592c8c0d95d27,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_RegressionTest9,500,0,False
39,BugSwarm,Universal_G__Code_Sender-172454077,0,621bf9789a20467ca535080535686cae,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ErrorTest2,500,0,True
40,BugSwarm,Universal_G__Code_Sender-172454077,0,621bf9789a20467ca535080535686cae,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ErrorTest0,500,0,True
41,BugSwarm,Universal_G__Code_Sender-172454077,0,621bf9789a20467ca535080535686cae,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_RegressionTest10,500,0,False
42,BugSwarm,Universal_G__Code_Sender-172454077,0,621bf9789a20467ca535080535686cae,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_RegressionTest6,500,0,False
43,BugSwarm,Universal_G__Code_Sender-172454077,0,621bf9789a20467ca535080535686cae,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ErrorTest10,500,0,True
44,BugSwarm,Universal_G__Code_Sender-172454077,0,621bf9789a20467ca535080535686cae,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_RegressionTest20,500,0,False
45,BugSwarm,Universal_G__Code_Sender-172454077,0,621bf9789a20467ca535080535686cae,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_RegressionTest4,500,0,False
46,BugSwarm,Universal_G__Code_Sender-172454077,0,621bf9789a20467ca535080535686cae,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_RegressionTest21,500,0,False
47,BugSwarm,Universal_G__Code_Sender-172454077,0,621bf9789a20467ca535080535686cae,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ErrorTest4,500,0,True
48,BugSwarm,Universal_G__Code_Sender-172454077,0,621bf9789a20467ca535080535686cae,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_RegressionTest2,500,0,False
49,BugSwarm,Universal_G__Code_Sender-172454077,0,621bf9789a20467ca535080535686cae,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ErrorTest1,500,0,True
50,BugSwarm,Universal_G__Code_Sender-172454077,0,621bf9789a20467ca535080535686cae,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_RegressionTest27,113,0,False
51,BugSwarm,Universal_G__Code_Sender-172454077,0,621bf9789a20467ca535080535686cae,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_RegressionTest16,500,0,False
52,BugSwarm,Universal_G__Code_Sender-172454077,0,621bf9789a20467ca535080535686cae,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ErrorTest7,500,0,True
53,BugSwarm,Universal_G__Code_Sender-172454077,0,621bf9789a20467ca535080535686cae,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ErrorTest3,500,0,True
54,BugSwarm,Universal_G__Code_Sender-172454077,0,621bf9789a20467ca535080535686cae,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_RegressionTest17,500,0,False
55,BugSwarm,Universal_G__Code_Sender-172454077,0,621bf9789a20467ca535080535686cae,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_RegressionTest25,500,0,False
56,BugSwarm,Universal_G__Code_Sender-172454077,0,621bf9789a20467ca535080535686cae,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_RegressionTest14,500,0,False
57,BugSwarm,Universal_G__Code_Sender-172454077,0,621bf9789a20467ca535080535686cae,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ErrorTest5,500,0,True
58,BugSwarm,Universal_G__Code_Sender-172454077,0,621bf9789a20467ca535080535686cae,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ErrorTest11,219,0,True
59,BugSwarm,Universal_G__Code_Sender-172454077,0,621bf9789a20467ca535080535686cae,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_RegressionTest18,500,0,False
60,BugSwarm,Universal_G__Code_Sender-172454077,0,621bf9789a20467ca535080535686cae,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_RegressionTest8,500,0,False
61,BugSwarm,Universal_G__Code_Sender-172454077,0,621bf9789a20467ca535080535686cae,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_RegressionTest19,500,0,False
62,BugSwarm,Universal_G__Code_Sender-172454077,0,621bf9789a20467ca535080535686cae,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ErrorTest6,500,0,True
63,BugSwarm,Universal_G__Code_Sender-172454077,0,621bf9789a20467ca535080535686cae,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_RegressionTest1,500,0,False
64,BugSwarm,Universal_G__Code_Sender-172454077,0,621bf9789a20467ca535080535686cae,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_RegressionTest5,500,0,False
65,BugSwarm,Universal_G__Code_Sender-172454077,0,621bf9789a20467ca535080535686cae,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_RegressionTest26,500,0,False
66,BugSwarm,Universal_G__Code_Sender-172454077,0,621bf9789a20467ca535080535686cae,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ErrorTest8,500,0,True
67,BugSwarm,Universal_G__Code_Sender-172454077,0,621bf9789a20467ca535080535686cae,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_RegressionTest12,500,0,False
68,BugSwarm,Universal_G__Code_Sender-172454077,0,621bf9789a20467ca535080535686cae,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_RegressionTest15,500,0,False
69,BugSwarm,Universal_G__Code_Sender-172454077,0,621bf9789a20467ca535080535686cae,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_RegressionTest22,500,0,False
70,BugSwarm,Universal_G__Code_Sender-172454077,0,621bf9789a20467ca535080535686cae,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_RegressionTest23,500,0,False
71,BugSwarm,Universal_G__Code_Sender-172454077,0,621bf9789a20467ca535080535686cae,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_RegressionTest0,500,0,False
72,BugSwarm,Universal_G__Code_Sender-172454077,0,621bf9789a20467ca535080535686cae,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_RegressionTest13,500,0,False
73,BugSwarm,Universal_G__Code_Sender-172454077,0,621bf9789a20467ca535080535686cae,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_RegressionTest7,500,0,False
74,BugSwarm,Universal_G__Code_Sender-172454077,0,621bf9789a20467ca535080535686cae,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ErrorTest9,500,0,True
75,BugSwarm,Universal_G__Code_Sender-172454077,0,621bf9789a20467ca535080535686cae,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_RegressionTest24,500,0,False
76,BugSwarm,Universal_G__Code_Sender-172454077,0,621bf9789a20467ca535080535686cae,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_RegressionTest3,500,0,False
77,BugSwarm,Universal_G__Code_Sender-172454077,0,621bf9789a20467ca535080535686cae,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_RegressionTest11,500,0,False
78,BugSwarm,Universal_G__Code_Sender-172454077,0,621bf9789a20467ca535080535686cae,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_RegressionTest9,500,0,False
79,BugSwarm,Universal_G__Code_Sender-172454077,0,d038e2b512d1495ba9e0398f23be8370,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ErrorTest2,500,0,True
80,BugSwarm,Universal_G__Code_Sender-172454077,0,d038e2b512d1495ba9e0398f23be8370,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ErrorTest0,500,0,True
81,BugSwarm,Universal_G__Code_Sender-172454077,0,d038e2b512d1495ba9e0398f23be8370,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_RegressionTest10,500,0,False
82,BugSwarm,Universal_G__Code_Sender-172454077,0,d038e2b512d1495ba9e0398f23be8370,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_RegressionTest6,500,0,False
83,BugSwarm,Universal_G__Code_Sender-172454077,0,d038e2b512d1495ba9e0398f23be8370,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ErrorTest10,500,0,True
84,BugSwarm,Universal_G__Code_Sender-172454077,0,d038e2b512d1495ba9e0398f23be8370,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_RegressionTest20,500,0,False
85,BugSwarm,Universal_G__Code_Sender-172454077,0,d038e2b512d1495ba9e0398f23be8370,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_RegressionTest4,500,0,False
86,BugSwarm,Universal_G__Code_Sender-172454077,0,d038e2b512d1495ba9e0398f23be8370,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_RegressionTest21,500,0,False
87,BugSwarm,Universal_G__Code_Sender-172454077,0,d038e2b512d1495ba9e0398f23be8370,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_ErrorTest4,500,0,True
88,BugSwarm,Universal_G__Code_Sender-172454077,0,d038e2b512d1495ba9e0398f23be8370,com.willwinder.universalgcodesender.GrblController,com.willwinder.universalgcodesender.GrblController_RegressionTest2,500,0,False
